respondent_id,All matters on wellness were effectively communicated throughout the year(nuggets/teasers/flyers)?,The Wellness champion/ambassador in my division was proactively engaged in the 2016 Aon Wellness Program,"I was satisfied with the elaborate scope of wellness offerings/services (checksups/talks, launch, etc) provided in 2016?","All things considered, I was extremely satisfied with the overall 2016 Wellness Program experience?",What did you like best about the 2016 Aon Staff Wellness Program?,What did you like least about the 2016 Aon Staff Wellness Program?,Any suggestions for improvement? List below
6126227004.0,Agree,Agree,Agree,Agree,  expressing myself,No response,improve on the areas mentioned
6124808025.0,Strongly agree,No response,No response,No response,No response,No response,No response
6124643109.0,Disagree,Neither agree nor disagree/neutral,Agree,Neither agree nor disagree/neutral,"The exercises that we were taken through like the Zumba, Dancing etc",There were few Wellness programs or activities in 2016,Add some more time in educating us and also more activities for the same
6124588433.0,Agree,Neither agree nor disagree/neutral,Agree,Agree,Staff engagement,No response,No response
6124588432.0,Agree,No response,No response,No response,No response,No response,No response
6123634637.0,Strongly agree,Agree,Agree,Neither agree nor disagree/neutral,No response,No response,No response
6123330622.0,Agree,Agree,Agree,Agree,No response,No response,No response
6123897549.0,Disagree,No response,No response,No response,No response,No response,No response
6123779778.0,Agree,No response,No response,No response,No response,No response,No response
6123680719.0,Agree,Agree,Agree,Agree,No response,No response,No response
6123654449.0,Disagree,No response,No response,No response,No response,No response,No response
6123329218.0,Neither agree nor disagree/neutral,Strongly disagree,Neither agree nor disagree/neutral,Disagree,Professional talks,Passive champions,No response
6123627248.0,Strongly agree,No response,No response,No response,No response,No response,No response
6123597315.0,Agree,Agree,Agree,Agree,No response,No response,No response
6123582059.0,Strongly disagree,No response,No response,No response,No response,No response,No response
6123561277.0,Agree,No response,No response,No response,No response,No response,No response
6123560759.0,Neither agree nor disagree/neutral,No response,No response,No response,No response,No response,No response
6123554707.0,Agree,Agree,Agree,Agree,No response,No response,No response
6123542206.0,Strongly agree,No response,No response,No response,No response,No response,No response
6123474217.0,Disagree,Neither agree nor disagree/neutral,Disagree,Neither agree nor disagree/neutral,No response,No response,No response
6123305675.0,Agree,Agree,Agree,Agree,Team Building,No response,No response
6123489134.0,Agree,No response,No response,No response,No response,No response,No response
6123486383.0,Agree,No response,No response,No response,No response,No response,No response
6123473784.0,Strongly agree,Strongly agree,Agree,Strongly agree,"Zumba Challenge, EAP sensitization and the best was the HIV talk.",No response,No response
6123473784.0,Strongly agree,Strongly agree,Agree,Strongly agree,"Zumba Challenge, EAP sensitization and the best was the HIV talk.",No response,No response
6123473784.0,Strongly agree,Strongly agree,Agree,Strongly agree,"Zumba Challenge, EAP sensitization and the best was the HIV talk.",No response,No response
6123473783.0,Strongly agree,No response,No response,No response,No response,No response,No response
