Respondent ID,Branch,Function,Consent for care call engagement,Please select your gender,Kindly select age group,"Are you aware of the current EWP, including health and wellness initiatives offered by the organization?",Did you participate in the wellness caravan during the wellness month?,"If No to Question 10, please state your reason for not participating","Reflecting on your experiences in 2025, which personal factors have affected your well-being? (Select all that apply.)",Personal Factors Affecting Wellbeing - Career/Education,Personal Factors Affecting Wellbeing - Work Stressors,Personal Factors Affecting Wellbeing - Work-Life Imbalance,Personal Factors Affecting Wellbeing - Gen-Z Protests,Personal Factors Affecting Wellbeing - Marital Issues,Personal Factors Affecting Wellbeing - Financial Challenges,Personal Factors Affecting Wellbeing - Relationship Difficulties,Personal Factors Affecting Wellbeing - Parenting Challenges,Personal Factors Affecting Wellbeing - Anxiety/Depression,Personal Factors Affecting Wellbeing - Traumatic Experiences,Personal Factors Affecting Wellbeing - Loss & Grief,Personal Factors Affecting Wellbeing - Alcohol/Dependency,Personal Factors Affecting Wellbeing - Chronic Diseases,Personal Factors Affecting Wellbeing - Other,"During the year 2025, have you accessed the Employee Assistance Program counselling services?","If No to Question 13, please state your reason for not participating","Based on the current economic developments, what financial empowerment programs would you like to be implemented in the EWP program?",Financial Empowerment - Debt Management,Financial Empowerment - Retirement Planning,Financial Empowerment - Investment,Financial Empowerment - Financial Planning,Financial Empowerment - Other,Which areas of mental health and wellbeing would you propose to be included in the wellness program to address your needs?,Mental Health/Wellbeing Focus - Lifestyle Diseases,Mental Health/Wellbeing Focus - Addiction/Stigma,Mental Health/Wellbeing Focus - Men/Women Forum,Mental Health/Wellbeing Focus - Relationships/Marriages,Mental Health/Wellbeing Focus - Parenting/Childcare,Mental Health/Wellbeing Focus - Awareness Sessions,Mental Health/Wellbeing Focus - Financial Literacy,Mental Health/Wellbeing Focus - Workplace Relationships,Mental Health/Wellbeing Focus - Teens Program,Mental Health/Wellbeing Focus - Other,What would you recommend to the organization to cultivate a healthy work environment that promotes maximum productivity? Please prioritize your suggestions:,"Embrace teamwork among colleagues through employee engagement forums/ sporting activities, team building","Initiate family visit days to the office- e.g., during customer service week…",Improve social support structures among employees/team members,State any other program…,I am interested in the Mental Health Peer Counselling Training Program,I am interested in being trained as a wellness champion,Did you participate in the 2024 survey?,"If you participated in the 2024 survey , what changes have you observed",Any suggestions to include in our next survey?
118935184951,Absa Headquarters (KE),COO,Yes,Male,35-44,No,No,I was on leave,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Marital issues,Financial challenges,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,I was lost,,Debt management,,Investment,Financial planning,,Anxiety/depression,,Dealing with addiction and related stigma,,Building healthy relationships/marriages,,Increased awareness sessions on mental health issues,,"Building healthy relationships at work (colleagues, team leaders, managers)",,,Urgent,Not Important.,Not Important.,Urgent,,Yes,Yes,Yes,,Change your questions
118935246514,Absa Headquarters (KE),MD Office,Yes,Male,25-34,No,No,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,HAVE BEEN DOING WELL,,,Retirement planning,,,,,,Dealing with addiction and related stigma,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Urgent,Not Important.,Important,LEAVE  DAYS,Yes,No,Yes,NOT REALLY,NONE
118935491531,Bishops Gate,Sales,Yes,Female,25-34,Yes,Yes,,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,,Personal financial management,,,,Financial planning,,,,,,,Parenting and childcare,,Money matters/Financial coaching and literacy sessions,,,,Important,Important,Important,Important,,Yes,Yes,Yes,NONE,NO
118935946703,Absa Headquarters (KE),production,Yes,Female,25-34,Yes,No,Didnt have the details,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,,,,,,,,,Money matters/Financial coaching and literacy sessions,,,,Important,Urgent,Important,Not Important.,,Yes,Yes,No,WAS AWAY FROM THE OFFICE,NONE
118935956214,Diani Branch,Lead Generator (LG),Yes,Female,35-44,Yes,Yes,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Loss and Grief,Not Selected,Not Selected,Not Selected,No,Unaware of EAP programm,Personal financial management,,Retirement planning,Investment,Financial planning,Savings,,Health and well-being including lifestyle diseases,,,,,,,,,,Urgent,Important,Urgent,Important,,Yes,Yes,No,,email to let people know about the survey
118935969428,Bishops Gate,Collections,Yes,Male,25-34,Yes,No,BUSY SCHEDULE,,Not Selected,Not Selected,Not Selected,Gen-Z protests,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,COPING WELL,,Debt management,,Investment,,,,,,,,,,,,,WORK LIFE INTEGRATION,Important,Urgent,Urgent,Urgent,,Yes,Yes,No,NONE,CONSIDERATION INTERACTIONS WITH EMPLOYEES OFTENLY REGARDING PERSONAL ISSUES
118935983565,Bishops Gate,Customer Service,Yes,Male,25-34,No,No,DIDNT HAVE DETAILS,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,,,,,,,,,,,,WORK LIFE INTEGRATION,Urgent,Important,Not Important.,Important,,Yes,Yes,No,NONE,NONE
118935989412,Diani Branch,LIFE GUARD,Yes,Male,35-44,No,No,LATE COMMUNICATION,,"Personal challenges (career growth, education)",Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,,,,,Investment,,,,Health and well-being including lifestyle diseases,,,,,,,,,,Important,Urgent,Urgent,Urgent,,No,No,Yes,NONE,NONE FOR NOW
118935996036,Kerugoya Branch,Finance,Yes,Male,25-34,Yes,No,He was not employed by then,,"Personal challenges (career growth, education)",Work- and work-related stressors,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,He has no issue that requires counselling,Personal financial management,,,Investment,,,Anxiety/depression,,Dealing with addiction and related stigma,Men Cave/Women Forum,,,Increased awareness sessions on mental health issues,,,,,Urgent,Urgent,,Urgent,,No,No,No,,None fo now
118936009864,Absa Headquarters (KE),SME,Yes,Female,Below 25 Years,No,Yes,,None of the above,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,JOINED THE TEAM RECENTLY,Personal financial management,,,,,,,,,,,,,,,,WORK LIFE INTEGRATION,Important,Important,Not Important.,Important,,Yes,Yes,Yes,NONE,NONE
