Respondent ID,Did you participate in any of the Wellness Month activities or checkups?,"If no, please indicate the reason(s) for not participating: (Select all that apply)",Reason for not participating in wellness activities - Lack of time,Reason for not participating in wellness activities - Not interested,Reason for not participating in wellness activities - Scheduling conflicts,Reason for not participating in wellness activities - Other (please specify),Which wellness checkups or activities did you participate in? (Select all that apply),Wellness Activities participated in - General health checkup,Wellness Activities participated in - Dental checkup,Wellness Activities participated in - Eye examination,Wellness Activities participated in - Mental health counseling,Wellness Activities participated in - Nutritional counseling,Wellness Activities participated in - Other (please specify),How would you score the organization and communication of Wellness Month activities?,How satisfied were you with the following aspects of the wellness checkups and activities?,How satisfied were you with wellness activity - Professionalism of healthcare providers,How satisfied were you with wellness activity - Quality of the services provided,How satisfied were you with wellness activity - Variety of services offered,How satisfied were you with wellness activity - Convenience of service locations,How satisfied were you with wellness activity - Duration of appointments,How would you score your overall experience during Wellness Month?,Did you receive any useful advice or recommendations from the wellness checkups?,"Advice Implementation - If yes, did you implement any of the advice or recommendations?",Do you agree that participating in Wellness Month has had a positive impact on your health and wellbeing?,What additional wellness services or activities would you like to see offered in future Wellness Months?,Do you have any suggestions for improving the current Wellness Month initiative?,Any other comments or feedback about Wellness Month?,How long have you been with the organization?
118668788952.0,No,,Lack of time,,,,,,,,,,,,,,,,,,,,,,,,,
118668476122.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Poor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,BMI is usually used with Caucasians. I'm not sure it accurately gives information on someone's health.,,More than 5 years
118667617442.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Very poor,Neutral,Satisfied,Neutral,Neutral,Disatisfied,Disatisfied,Neutral,Yes,No,Neutral,,,,
118667957570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118667925907.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118667806560.0,No,,Lack of time,,,,None of the above,,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Poor,No,No,Agree,,,,1 - 3 years
118667747740.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,,,3 - 5 years
118667663941.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,AON MiNET team to improve their services in terms of giving appointments for counselling then cancelling it the last minute when you show up with the patient. I feel they lack professionalism. Most of the time they have trainees as counsellors and I am not very comfortable to share my issues,More than 5 years
118667655125.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118667606602.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Ok for now,no,no,More than 5 years
118667613558.0,No,Not aware of the activities,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Disatisfied,Neutral,Neutral,No,No,Neutral,GYM,NO,NO,More than 5 years
118667622364.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Average,Neutral,Disatisfied,Neutral,Neutral,Disatisfied,Neutral,Neutral,Yes,Yes,Strongly agree,emphasis on financial wellbeing is more critical in these times hence more forums can be schedules for colleagues,"the wellness ambassadors within the various teams need to be more visible and empowered with activities they can take their teams through during the wellness month, this can be on a weekly basis where its made mandatory for teams to have morning hurdles to discuss about wellness.",,More than 5 years
118667607640.0,Yes,,,,,,,General health checkup,,,Mental health counseling,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Strongly agree,Ok,Ok,Can have a sub-department that deals with employee wellness fulltime.,1 - 3 years
118667605998.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,"Please increase limits allocated to annual wellness in our insurance. The annual sh.40,000 is not enough.",,,More than 5 years
118667595938.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118667373047.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Very Satisfied,Satisfied,Neutral,Disatisfied,Neutral,Good,Yes,Yes,Strongly agree,Breast cancer screening,,,More than 5 years
118667277118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118666774122.0,No,,,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
118664303993.0,Yes,Not aware of the activities,,,Scheduling conflicts,,None of the above,,,,,,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,No,Agree,No,No,,
118666254582.0,Yes,,,,,,,,Dental checkup,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Good,Yes,Yes,Agree,,,,1 - 3 years
118665373457.0,Yes,,,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
