Respondent ID,Collector ID,Start Date,End Date,IP Address,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender,Kindly select your age group,Please select your respective functional unit from the dropdown below.,Ranking - CYCLING,Ranking - RUNNING,Ranking - FOOTBALL,Ranking - MEN'S CAVE,Ranking - LADIES CLUB,Ranking - BOOK CLUB,Ranking - DIET/NUTRITION PROGRAMS,Ranking - STAIRCASE/STEP CHALLENGE,Ranking - MEDITATION/YOGA/MUSIC,Ranking - QUIZ DAYS,Ranking - Other (please specify),Champion Interest - CYCLING,Champion Interest - RUNNING,Champion Interest - FOOTBALL,Champion Interest - MEN'S CAVE,Champion Interest - LADIES CLUB,Champion Interest - BOOK CLUB,Champion Interest - DIET/NUTRITION PROGRAMS,Champion Interest - STAIRCASE/STEP CHALLENGE,Champion Interest - MEDITATION/YOGA/MUSIC,Champion Interest - QUIZ DAYS,Champion Interest - Personal issues,Champion Interest - Work/job-related stressors,Champion Interest - Building Healthy families,Champion Interest - Emotional Wellbeing,Mental Wellness - Financial Wellbeing,"Mental Wellness - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness - Substance and Drug Dependence,Mental Wellness - Healthy Relationships,Mental Wellness - Unresolved Childhood Difficulties,Mental Wellness - Anxiety and Depression,Mental Wellness - Work-life balance,Mental Wellness - Lifestyle diseases management,Mental Wellness - Effective Parenting skills (Managing children and teenagers),Mental Wellness - Other (please specify),Mental Wellness - Wellness coordinators/ Ambassador for Change,Mental Wellness - Mental Health Peer counsellor,Mental Wellness - Baby minder trainings (training for your nannies),Mental Wellness - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Interest - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Interest - Other (please specify),"Training Interest - Thrive club (Those living positively with a life's challenging phenomena; Disease, Disability etc.)",Training Interest - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Training Interest - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Training Interest - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Club Interest - Other (please specify)
114614800775.0,431024436.0,2024-06-03 11:41:05,2024-06-03 11:50:26,41.57.104.110,I Agree (Continue with Survey),Male,31-35 years,Commercial,7.0,10.0,6.0,7.0,1.0,10.0,3.0,1.0,6.0,10.0,,No Response,RUNNING,No Response,No Response,No Response,BOOK CLUB,No Response,No Response,No Response,No Response,No Response,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,No Response,No Response,Healthy Relationships,No Response,No Response,Work-life balance,No Response,No Response,No Response,Wellness coordinators/ Ambassador for Change,No Response,No Response,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),No Response,No Response,No Response,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",No Response
114613162938.0,431024436.0,2024-05-31 11:18:36,2024-05-31 11:31:49,41.57.104.110,I Agree (Continue with Survey),Female,26-30 years,Finance,5.0,5.0,5.0,,10.0,,,8.0,1.0,1.0,,No Response,No Response,No Response,No Response,LADIES CLUB,No Response,No Response,No Response,No Response,No Response,Personal issues,Work/job-related stressors,Building Healthy families,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Work-life balance,No Response,Effective Parenting skills (Managing children and teenagers),No Response,No Response,No Response,No Response,No Response,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),No Response,No Response,No Response,No Response,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",No Response
114611391317.0,431024436.0,2024-05-29 10:13:55,2024-05-29 10:18:37,102.222.6.9,I Agree (Continue with Survey),Female,26-30 years,Commercial,7.0,4.0,10.0,1.0,1.0,1.0,1.0,10.0,4.0,8.0,,CYCLING,No Response,FOOTBALL,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Work/job-related stressors,No Response,No Response,Financial Wellbeing,No Response,No Response,No Response,No Response,No Response,Work-life balance,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),No Response,No Response,No Response,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",No Response,No Response
114610692598.0,431024436.0,2024-05-28 15:41:21,2024-05-28 15:45:27,41.57.104.110,I Agree (Continue with Survey),Female,31-35 years,Sales Operations,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,,No Response,No Response,No Response,No Response,No Response,No Response,DIET/NUTRITION PROGRAMS,No Response,No Response,No Response,No Response,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",No Response,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),No Response,No Response,No Response,No Response,No Response,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),No Response,No Response,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),No Response,No Response,No Response
114610598275.0,431024436.0,2024-05-28 12:58:06,2024-05-28 13:02:15,154.66.219.130,I Agree (Continue with Survey),Female,26-30 years,Human Resource and Administration,1.0,4.0,1.0,1.0,5.0,10.0,10.0,10.0,4.0,10.0,,No Response,No Response,No Response,No Response,No Response,BOOK CLUB,DIET/NUTRITION PROGRAMS,No Response,No Response,No Response,No Response,Work/job-related stressors,No Response,Emotional Wellbeing,Financial Wellbeing,No Response,No Response,Healthy Relationships,No Response,Anxiety and Depression,Work-life balance,No Response,No Response,No Response,No Response,No Response,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),No Response,No Response,No Response,No Response,No Response,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",No Response
114610531626.0,431024436.0,2024-05-28 10:33:32,2024-05-28 11:57:16,154.66.219.130,I Agree (Continue with Survey),Female,26-30 years,Sales Operations,1.0,3.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,2.0,,No Response,RUNNING,No Response,No Response,LADIES CLUB,No Response,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,No Response,QUIZ DAYS,Personal issues,No Response,No Response,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",No Response,No Response,No Response,Anxiety and Depression,No Response,No Response,Effective Parenting skills (Managing children and teenagers),No Response,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,No Response,No Response,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),No Response,No Response,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),No Response,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",No Response
114610564942.0,431024436.0,2024-05-28 11:45:41,2024-05-28 11:51:29,41.57.104.110,I Agree (Continue with Survey),Female,36-40 years,Sales Operations,3.0,6.0,2.0,,8.0,9.0,10.0,9.0,7.0,4.0,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Effective Parenting skills (Managing children and teenagers),No Response,No Response,No Response,No Response,Youth/Peer mentorship program (Training for your adolescent son/daughter),No Response,No Response,No Response,No Response,No Response,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",No Response
114610540853.0,431024436.0,2024-05-28 10:54:49,2024-05-28 10:59:52,41.57.104.110,I Agree (Continue with Survey),Male,31-35 years,Business Development,1.0,8.0,4.0,1.0,1.0,1.0,8.0,8.0,8.0,4.0,,No Response,RUNNING,FOOTBALL,No Response,No Response,No Response,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,No Response,No Response,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,No Response,No Response,Healthy Relationships,No Response,No Response,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),No Response,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,No Response,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),No Response,No Response,No Response,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",No Response
114610538058.0,431024436.0,2024-05-28 10:49:00,2024-05-28 10:51:47,102.220.169.6,I Agree (Continue with Survey),Male,36-40 years,Business Development,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,CYCLING,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Financial Wellbeing,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,not interested,No Response,No Response,No Response,No Response,not interested
114610531556.0,431024436.0,2024-05-28 10:33:37,2024-05-28 10:34:46,105.161.207.32,I Agree (Continue with Survey),Male,31-35 years,CMD,,,,,,,,,,,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
