Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below,"Rank the below proposed wellness activities in order of your preference and participation in the year 2025 (1 being the lowest, while 10 being the highest score)",Proposed wellness activities preference ranking - Proposed wellness activities ranking - ZUMBA,Proposed wellness activities preference ranking - Proposed wellness activities ranking - SWIMMING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - HIKING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - CYCLING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - RUNNING,Proposed wellness activities preference ranking - Proposed wellness activities ranking - FOOTBALL,Proposed wellness activities preference ranking - Proposed wellness activities ranking - MEN’ S CAVE,Proposed wellness activities preference ranking - Proposed wellness activities ranking - LADIES CLUB,Proposed wellness activities preference ranking - Proposed wellness activities ranking - BOOK CLUB,Proposed wellness activities preference ranking - Proposed wellness activities ranking - DIET/NUTRITION PROGRAMS,Proposed wellness activities preference ranking - Proposed wellness activities ranking - STAIRCASE/STEP CHALLENGE,Proposed wellness activities preference ranking - Proposed wellness activities ranking - QUIZ DAYS,Proposed wellness activities preference ranking - Proposed wellness activities ranking - MEDITATION/YOGA/MUSIC,Proposed wellness activities preference ranking - Proposed wellness activities ranking - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee interested joining - ZUMBA,Champion/Committee interested joining - SWIMMING,Champion/Committee interested joining - HIKING,Champion/Committee interested joining - CYCLING,Champion/Committee interested joining - RUNNING,Champion/Committee interested joining - FOOTBALL,Champion/Committee interested joining - MEN'S CAVE,Champion/Committee interested joining - LADIES CLUB,Champion/Committee interested joining - BOOK CLUB,Champion/Committee interested joining - DIET/NUTRITION PROGRAMS,Champion/Committee interested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee interested joining - QUIZ DAYS,Champion/Committee interested joining - MEDITATION/YOGA/MUSIC,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental wellness areas requested to address - Work/job-related stressors,Mental wellness areas requested to address - Building Healthy families,Mental wellness areas requested to address - Emotional Wellbeing,Mental wellness areas requested to address - Financial Wellbeing,"Mental wellness areas requested to address - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness areas requested to address - Substance and Drug Dependence,Mental wellness areas requested to address - Healthy Relationships,Mental wellness areas requested to address - Unresolved Childhood Difficulties,Mental wellness areas requested to address - Anxiety and Depression,Mental wellness areas requested to address - Work-life balance,Mental wellness areas requested to address - Lifestyle diseases management,Mental wellness areas requested to address - Effective Parenting skills (Managing children and teenagers),Mental wellness areas requested to address - Other (please specify),Which of the following training programs would you like to attend?,Training programs would like to attend - Mental Health Peer counsellor,Training programs would like to attend - Baby minder trainings (training for your nannies),Training programs would like to attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs would like to attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs would like to attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing club interested joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing club interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing club interested joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Health & wellbeing club interested joining - Other (please specify)
114921735652.0,I Agree (Continue with Survey),Male,36-40 years,HR and Admin,3,1,7,9,4,4,3,5,1,1,4,5,3,9,,GYM/AEROBICS,,SWIMMING,HIKING,,RUNNING,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114921732643.0,I Agree (Continue with Survey),Female,26-30 years,Finance,7,5,3,5,1,6,8,,1,1,10,10,1,10,,,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,Emotional Wellbeing,,,,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114921729787.0,I Agree (Continue with Survey),Male,36-40 years,Supply,,,,,,,,,,,,10,,,,GYM/AEROBICS,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114921729685.0,I Agree (Continue with Survey),Female,31-35 years,Sales,1,1,1,5,1,1,1,1,1,1,5,1,10,5,,,,,,,,,,,,,,QUIZ DAYS,,,,,,Financial Wellbeing,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114921589437.0,I Agree (Continue with Survey),Female,41-45 years,Supply,,,,,,7,,,,,,,,,,,,,,,RUNNING,,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,
114921588856.0,I Agree (Continue with Survey),Female,41-45 years,HR and Admin,10,10,2,4,2,1,1,1,6,6,8,4,6,10,,GYM/AEROBICS,ZUMBA,,,,,,,LADIES CLUB,,,,,,,,,,,,Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114921586917.0,I Agree (Continue with Survey),Male,36-40 years,Aviation,8,4,9,6,10,10,9,8,,7,10,5,3,8,,,,,,,,FOOTBALL,,,,,,,,Personal issues,,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920932326.0,I Agree (Continue with Survey),Male,41-45 years,Supply,3,,,7,6,8,3,,,,5,,,,,GYM/AEROBICS,,,,CYCLING,RUNNING,FOOTBALL,,,,,,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920931084.0,I Agree (Continue with Survey),Female,36-40 years,Supply,7,10,5,10,5,5,5,,10,10,10,10,7,9,,GYM/AEROBICS,ZUMBA,,HIKING,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,MEDITATION/YOGA/MUSIC,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,,Unresolved Childhood Difficulties,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114920927285.0,I Agree (Continue with Survey),Male,26-30 years,Sales,10,3,6,3,6,8,4,3,1,6,5,5,4,8,,GYM/AEROBICS,,,,,,,,,BOOK CLUB,,,,,Personal issues,,,,,,,Healthy Relationships,Unresolved Childhood Difficulties,,,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
