Respondent ID,The wellness camp met my expectation?,The topics and checks covered were relevant,The trainer was knowledgeable and well prepared,The providers conducted themselves professionally,There was sufficient opportunity for interactive participation,"All things considered, I was extremely satisfied with the Wellness Camp?",What did you like best about the Staff Wellness camp?,What did you like least about the Staff Wellness Camp?,Any suggestions for improvement? List below.
10050327177.0,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Satisfied,the feedback was immediate,privacy,"More test,"
10050117988.0,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Satisfied,The brief medical checkup,their was no privacy during the medical checkup.,"(1) If we can, lets pick one item for discussion, ie if its Blood pressure then no other topic to be discussed so we can extensively get informed.      (2) Lets have a separate area for individual screening.    (3) we should have an optional HIV test as well for those willing"
10050085001.0,Agree,Agree,No Response,Agree,Agree,Satisfied,the topic on nutrition.,the optician was very expensive.,I was satisfied with the topics covered
10048391181.0,Agree,Strongly agree,Agree,Strongly agree,Agree,Satisfied,The medical check ups plus the talk,The eye test recommends spectacles even when they tell you that you have very good eyesight. looked more like they were on retail business of pushing their item volumes.,More time for medical talk and more detailed medical checks would be appropriate.
10048320049.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No Response,interaction between staff and Doctors,Was all okay,
10048305125.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,No Response,,Time,Presentation.
10048303977.0,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Satisfied,"Modern Equipment were used, giving better results like eyesight Equipment.",,"I found the Staff professionals, Excellent."
10048297974.0,Agree,Agree,Agree,Agree,Agree,Satisfied,On the bit of cancer management programme,,More time is required
10048295149.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No Response,"HBP test, weight & Eye sight test",nothing,should be carried out more often
10048293239.0,Agree,Agree,Agree,Agree,Agree,Satisfied,I was given advice on proper eating habits.,,they should also include blood sugar test
10048290878.0,Agree,Strongly agree,Agree,Agree,Agree,Satisfied,,,"Low, need to speed up during attendance"
