Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below,Please select your categorization of work locations,"Rank of wellness activity preference/participation(1 least 10 highest) - Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activity preference/participation(1 least 10 highest) - ZUMBA,Rank of wellness activity preference/participation(1 least 10 highest) - SWIMMING,Rank of wellness activity preference/participation(1 least 10 highest) - HIKING,Rank of wellness activity preference/participation(1 least 10 highest) - CYCLING,Rank of wellness activity preference/participation(1 least 10 highest) - RUNNING,Rank of wellness activity preference/participation(1 least 10 highest) - FOOTBALL,Rank of wellness activity preference/participation(1 least 10 highest) - MEN’ S CAVE,Rank of wellness activity preference/participation(1 least 10 highest) - LADIES CLUB,Rank of wellness activity preference/participation(1 least 10 highest) - BOOK CLUB,Rank of wellness activity preference/participation(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activity preference/participation(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activity preference/participation(1 least 10 highest) - QUIZ DAYS,Rank of wellness activity preference/participation(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Would Like to join as Champion/Committee member - ZUMBA,Would Like to join as Champion/Committee member - SWIMMING,Would Like to join as Champion/Committee member - HIKING,Would Like to join as Champion/Committee member - CYCLING,Would Like to join as Champion/Committee member - RUNNING,Would Like to join as Champion/Committee member - FOOTBALL,Would Like to join as Champion/Committee member - MEN'S CAVE,Would Like to join as Champion/Committee member - LADIES CLUB,Would Like to join as Champion/Committee member - BOOK CLUB,Would Like to join as Champion/Committee member - DIET/NUTRITION PROGRAMS,Would Like to join as Champion/Committee member - STAIRCASE/STEP CHALLENGE,Would Like to join as Champion/Committee member - QUIZ DAYS,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Would Like To Attend - Mental Health Peer counsellor,Training Programs Would Like To Attend - Baby minder trainings (training for your nannies),Training Programs Would Like To Attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Would Like To Attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Would Like To Attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Wellbeing Clubs Would Like To Join - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Wellbeing Clubs Would Like To Join - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Wellbeing Clubs Would Like To Join - Other (please specify),What is the most important thing for you when it comes to well-being?,Are you enrolled in any wellbeing program or initiative?,"If yes, kindly state",Have you had any annual wellness checkups this year?
114907692509.0,I Agree (Continue with Survey),Female,31-35 years,Global Program - Program Support,Hybrid,1,8,4,1,1,1,1,1,1,1,7,10,1,,,,,,,,,,,BOOK CLUB,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Peace of mind,No,,No
114904254703.0,I Agree (Continue with Survey),Female,41-45 years,Global Program - Program Support,Hybrid,5,1,3,7,1,10,1,1,5,1,3,9,1,Walking,,,,,,RUNNING,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Setting a wellness goal and working towards achieving the goal.,Yes,Running club,Yes
114904250344.0,I Agree (Continue with Survey),Male,31-35 years,Global Program - Business Support,Home based,8,7,1,2,1,10,9,5,1,1,10,10,10,,,,,,,,,MEN'S CAVE,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,,Yes,,Yes
114904169264.0,I Agree (Continue with Survey),Male,41-45 years,Global Program - Partnership,Field Based,10,,,9,10,7,10,10,,8,8,9,8,,,,,,,,FOOTBALL,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Keeping physically fit and puffing up my muscles.,No,,Yes
114903379507.0,I Agree (Continue with Survey),Female,41-45 years,Global Program - Business Support,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114903351833.0,I Agree (Continue with Survey),Female,36-40 years,Global Program - Program Support,Hybrid,10,1,4,8,1,3,1,1,1,4,10,10,5,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,,,Financial Wellbeing,,,,Unresolved Childhood Difficulties,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Physical health,No,,No
114903335003.0,I Agree (Continue with Survey),Male,50+ years,Global Program - Partnership,Hybrid,10,,,,,,,10,,,10,10,,"games,darts,painting,achery,pool table etc",GYM/AEROBICS,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,,Spiritual wellbeing,Spiritual wellness,Yes,Bible reading clubd,No
114902839792.0,I Agree (Continue with Survey),Male,36-40 years,General Counsel & Strategy Office,Hybrid,2,1,3,2,3,10,1,1,1,1,1,1,1,,GYM/AEROBICS,,SWIMMING,,CYCLING,,,MEN'S CAVE,,,,,,,,Building Healthy families,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Work life balance,No,,Yes
114902742838.0,I Agree (Continue with Survey),Male,41-45 years,Global Program - Program Support,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114902629933.0,I Agree (Continue with Survey),Male,50+ years,Global Program - Partnership,Hybrid,1,1,1,1,1,6,5,1,1,1,8,10,1,,,,,,,,FOOTBALL,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,Substance and Drug Dependence,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,,No,,No
