Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below,"Rank the below proposed wellness activities in order of your preference and participation in the year 2025 (1 being the lowest, while 10 being the highest score)",Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - QUIZ DAYS,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Would like to join as Champion or Committee member - ZUMBA,Would like to join as Champion or Committee member - SWIMMING,Would like to join as Champion or Committee member - HIKING,Would like to join as Champion or Committee member - CYCLING,Would like to join as Champion or Committee member - RUNNING,Would like to join as Champion or Committee member - FOOTBALL,Would like to join as Champion or Committee member - MEN'S CAVE,Would like to join as Champion or Committee member - LADIES CLUB,Would like to join as Champion or Committee member - BOOK CLUB,Would like to join as Champion or Committee member - DIET/NUTRITION PROGRAMS,Would like to join as Champion or Committee member - STAIRCASE/STEP CHALLENGE,Would like to join as Champion or Committee member - QUIZ DAYS,Would like to join as Champion or Committee member - MEDITATION/YOGA/MUSIC,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Would Like To Attend - Mental Health Peer counsellor,Training Programs Would Like To Attend - Baby minder trainings (training for your nannies),Training Programs Would Like To Attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Would Like To Attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Would Like To Attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Wellbeing Clubs Interested To Join - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Wellbeing Clubs Interested To Join - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Wellbeing Clubs Interested To Join - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Wellbeing Clubs Interested To Join - Other (please specify)
118954005932.0,I Agree (Continue with Survey),Female,41-45 years,Marketing Department,8,,4,4,,4,,,,,,,,,,,,,,,,,,,BOOK CLUB,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118954011373.0,I Agree (Continue with Survey),Female,36-40 years,Finance Department,10,10,,,5,,,,,,,,,10,,GYM/AEROBICS,ZUMBA,,,,,,,,,,,,,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118953999403.0,I Agree (Continue with Survey),Female,31-35 years,Transport Department,8,9,6,7,5,10,2,1,2,1,7,10,6,8,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118954000423.0,I Agree (Continue with Survey),Female,36-40 years,Tour Department,1,1,2,3,6,1,5,1,4,3,5,5,8,7,,,,,HIKING,CYCLING,,,,,,DIET/NUTRITION PROGRAMS,,,MEDITATION/YOGA/MUSIC,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118953999763.0,I Agree (Continue with Survey),Female,36-40 years,Transport Department,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118953998714.0,I Agree (Continue with Survey),Female,31-35 years,Transport Department,10,7,5,6,1,8,6,1,1,,6,7,1,1,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,,,Emotional Wellbeing,,,,,,Anxiety and Depression,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118953992182.0,I Agree (Continue with Survey),Female,21-25years,Tour Department,2,2,7,3,,1,1,1,3,1,4,6,1,10,,,,SWIMMING,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,Emotional Wellbeing,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118953586469.0,I Agree (Continue with Survey),Female,41-45 years,Travel Department,10,,5,,,10,,,,,10,10,,,,GYM/AEROBICS,,,,,RUNNING,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,,QUIZ DAYS,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118953216881.0,I Agree (Continue with Survey),Male,50+ years,Visa Department (includes Riders & Security),4,1,1,1,6,,3,1,1,1,3,,1,2,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,Building Healthy families,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
118953213483.0,I Agree (Continue with Survey),Female,36-40 years,Travel Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
