Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your department from the drop down below,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee Interested joining - ZUMBA,Champion/Committee Interested joining - SWIMMING,Champion/Committee Interested joining - HIKING,Champion/Committee Interested joining - CYCLING,Champion/Committee Interested joining - RUNNING,Champion/Committee Interested joining - FOOTBALL,Champion/Committee Interested joining - MEN'S CAVE,Champion/Committee Interested joining - LADIES CLUB,Champion/Committee Interested joining - BOOK CLUB,Champion/Committee Interested joining - DIET/NUTRITION PROGRAMS,Champion/Committee Interested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee Interested joining - MEDITATION/YOGA/MUSIC,Champion/Committee Interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issue would like addressed - Work/job-related stressors,Mental Wellness Issue would like addressed - Building Healthy families,Mental Wellness Issue would like addressed - Emotional Wellbeing,Mental Wellness Issue would like addressed - Financial Wellbeing,"Mental Wellness Issue would like addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issue would like addressed - Substance and Drug Dependence,Mental Wellness Issue would like addressed - Healthy Relationships,Mental Wellness Issue would like addressed - Unresolved Childhood Difficulties,Mental Wellness Issue would like addressed - Anxiety and Depression,Mental Wellness Issue would like addressed - Work-life balance,Mental Wellness Issue would like addressed - Lifestyle diseases management,Mental Wellness Issue would like addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issue would like addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Program Interested Attending - Mental Health Peer counsellor,Training Program Interested Attending - Baby minder trainings (training for your nannies),Training Program Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Program Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Program Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Club Interest - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Club Interest - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Club Interest - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Club Interest - Other (please specify)
118725860443.0,I Agree (Continue with Survey),Male,31-35 years,Retail,,,,,9,9,,,,,,,,,,,,,,CYCLING,,,,,,,,,,Personal issues,,,Emotional Wellbeing,,,Substance and Drug Dependence,,,Anxiety and Depression,,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118725639350.0,I Agree (Continue with Survey),Male,41-45 years,HVAC [Heating Ventilation & Air Conditioning],10,6,9,3,10,6,10,10,8,7,10,10,6,6,,GYM/AEROBICS,,SWIMMING,,CYCLING,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,,,Healthy Relationships,,,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118724311761.0,I Agree (Continue with Survey),Female,31-35 years,Retail,10,10,2,5,4,6,7,1,5,1,10,9,10,8,,GYM/AEROBICS,ZUMBA,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,,,,,,Unresolved Childhood Difficulties,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118724310344.0,I Agree (Continue with Survey),Female,26-30 years,Retail,5,8,10,5,8,5,3,3,8,10,10,8,9,7,,,ZUMBA,SWIMMING,,CYCLING,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118724303697.0,I Agree (Continue with Survey),Female,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118724295154.0,I Agree (Continue with Survey),Male,36-40 years,Modern Trade,5,,6,9,10,7,8,5,1,9,7,10,,10,,,,,,CYCLING,,,,,,,,,,,,Building Healthy families,,,,,,,Anxiety and Depression,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118724134329.0,I Agree (Continue with Survey),Male,31-35 years,HVAC [Heating Ventilation & Air Conditioning],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723864609.0,I Agree (Continue with Survey),Male,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118723759871.0,I Agree (Continue with Survey),Male,31-35 years,Modern Trade,3,2,2,7,5,5,8,4,2,3,4,4,3,4,,,,,HIKING,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118723426675.0,I Agree (Continue with Survey),Female,36-40 years,Corporate B2B & Projects,10,1,1,5,1,1,1,1,2,2,10,10,,10,,,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
