Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below,"Rank the below proposed wellness activities in order of your preference and participation in the year 2025 (1 being the lowest, while 10 being the highest score)",Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - QUIZ DAYS,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness Activity Would Like To Join As Champion or Committee Member - ZUMBA,Wellness Activity Would Like To Join As Champion or Committee Member - SWIMMING,Wellness Activity Would Like To Join As Champion or Committee Member - HIKING,Wellness Activity Would Like To Join As Champion or Committee Member - CYCLING,Wellness Activity Would Like To Join As Champion or Committee Member - RUNNING,Wellness Activity Would Like To Join As Champion or Committee Member - FOOTBALL,Wellness Activity Would Like To Join As Champion or Committee Member - MEN'S CAVE,Wellness Activity Would Like To Join As Champion or Committee Member - LADIES CLUB,Wellness Activity Would Like To Join As Champion or Committee Member - BOOK CLUB,Wellness Activity Would Like To Join As Champion or Committee Member - DIET/NUTRITION PROGRAMS,Wellness Activity Would Like To Join As Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Wellness Activity Would Like To Join As Champion or Committee Member - QUIZ DAYS,Wellness Activity Would Like To Join As Champion or Committee Member - MEDITATION/YOGA/MUSIC,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues to Address - Work/job-related stressors,Mental Wellness Issues to Address - Building Healthy families,Mental Wellness Issues to Address - Emotional Wellbeing,Mental Wellness Issues to Address - Financial Wellbeing,"Mental Wellness Issues to Address - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues to Address - Substance and Drug Dependence,Mental Wellness Issues to Address - Healthy Relationships,Mental Wellness Issues to Address - Unresolved Childhood Difficulties,Mental Wellness Issues to Address - Anxiety and Depression,Mental Wellness Issues to Address - Work-life balance,Mental Wellness Issues to Address - Lifestyle diseases management,Mental Wellness Issues to Address - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues to Address - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Interested Attending - Mental Health Peer counsellor,Training Programs Interested Attending - Baby minder trainings (training for your nannies),Training Programs Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify)
114906357053.0,I Agree (Continue with Survey),Male,31-35 years,Retail,10,1,1,1,1,8,8,1,1,1,10,7,8,9,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,,FOOTBALL,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,MEDITATION/YOGA/MUSIC,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114906356825.0,I Agree (Continue with Survey),Male,21-25years,Supply,5,2,1,8,2,6,9,7,1,4,5,10,5,8,,,,SWIMMING,HIKING,CYCLING,RUNNING,FOOTBALL,,,,,,,MEDITATION/YOGA/MUSIC,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114906351884.0,I Agree (Continue with Survey),Female,21-25years,Marketing & BD,10,9,,,,,,,10,,10,10,,,,GYM/AEROBICS,ZUMBA,,,,,,,LADIES CLUB,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114905034709.0,I Agree (Continue with Survey),Male,26-30 years,Operations,5,7,5,10,5,5,7,1,,5,6,6,6,1,,,,SWIMMING,,CYCLING,,,MEN'S CAVE,,BOOK CLUB,,,QUIZ DAYS,MEDITATION/YOGA/MUSIC,Personal issues,,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114905577909.0,I Agree (Continue with Survey),Female,36-40 years,Customer Care,8,5,9,5,6,5,,,8,7,9,5,4,9,,GYM/AEROBICS,,SWIMMING,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,Building Healthy families,Emotional Wellbeing,,,,Healthy Relationships,,,Work-life balance,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,
114905573495.0,I Agree (Continue with Survey),Male,50+ years,ICT,3,2,9,10,9,10,3,8,1,1,6,4,8,9,,,,,HIKING,,,,MEN'S CAVE,,,,,QUIZ DAYS,,,,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,,,,,,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114905570933.0,I Agree (Continue with Survey),Male,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114905305969.0,I Agree (Continue with Survey),Male,26-30 years,Retail,5,1,2,1,1,9,10,1,1,1,4,2,3,5,,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,Substance and Drug Dependence,,,,Work-life balance,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114905199809.0,I Agree (Continue with Survey),Male,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114905194460.0,I Agree (Continue with Survey),Male,21-25years,Retail,5,,5,4,4,8,10,,,8,5,8,5,5,,,,,,,,FOOTBALL,,,,,,,,,,,,Financial Wellbeing,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
