Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please tick your respective functional unit below,Other (please specify),"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking wellness activities preference and participation(1 least 10 highest) - ZUMBA,Ranking wellness activities preference and participation(1 least 10 highest) - SWIMMING,Ranking wellness activities preference and participation(1 least 10 highest) - HIKING,Ranking wellness activities preference and participation(1 least 10 highest) - CYCLING,Ranking wellness activities preference and participation(1 least 10 highest) - RUNNING,Ranking wellness activities preference and participation(1 least 10 highest) - FOOTBALL,Ranking wellness activities preference and participation(1 least 10 highest) - MEN’ S CAVE,Ranking wellness activities preference and participation(1 least 10 highest) - LADIES CLUB,Ranking wellness activities preference and participation(1 least 10 highest) - BOOK CLUB,Ranking wellness activities preference and participation(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking wellness activities preference and participation(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking wellness activities preference and participation(1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking wellness activities preference and participation(1 least 10 highest) - QUIZ DAYS,Ranking wellness activities preference and participation(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness activities champion/committee interested joining - ZUMBA,Wellness activities champion/committee interested joining - SWIMMING,Wellness activities champion/committee interested joining - HIKING,Wellness activities champion/committee interested joining - CYCLING,Wellness activities champion/committee interested joining - RUNNING,Wellness activities champion/committee interested joining - FOOTBALL,Wellness activities champion/committee interested joining - MEN'S CAVE,Wellness activities champion/committee interested joining - LADIES CLUB,Wellness activities champion/committee interested joining - BOOK CLUB,Wellness activities champion/committee interested joining - DIET/NUTRITION PROGRAMS,Wellness activities champion/committee interested joining - STAIRCASE/STEP CHALLENGE,Wellness activities champion/committee interested joining - MEDITATION/YOGA/MUSIC,Wellness activities champion/committee interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues requested to adress - Work/job-related stressors,Mental wellness issues requested to adress - Building Healthy families,Mental wellness issues requested to adress - Emotional Wellbeing,Mental wellness issues requested to adress - Financial Wellbeing,"Mental wellness issues requested to adress - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues requested to adress - Substance and Drug Dependence,Mental wellness issues requested to adress - Healthy Relationships,Mental wellness issues requested to adress - Unresolved Childhood Difficulties,Mental wellness issues requested to adress - Anxiety and Depression,Mental wellness issues requested to adress - Work-life balance,Mental wellness issues requested to adress - Lifestyle diseases management,Mental wellness issues requested to adress - Effective Parenting skills (Managing children and teenagers),Mental wellness issues requested to adress - Other (please specify),Which of the following training programs would you like to attend?,Training programs interested attending - Mental Health Peer counsellor,Training programs interested attending - Baby minder trainings (training for your nannies),Training programs interested attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs interested attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs interested attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing clubs interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing clubs interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing clubs interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & wellbeing clubs interested joining - Other (please specify)
114452894591.0,I Agree (Continue with Survey),Male,31-35 years,Plant operations,,1,1,7,7,8,7,2,9,1,5,1,1,7,6,,,,SWIMMING,HIKING,CYCLING,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114452735244.0,I Agree (Continue with Survey),Male,36-40 years,Warehousing,,9,2,6,7,,8,10,8,8,7,9,5,7,5,,,,,,,,,,,BOOK CLUB,,,,,,Work/job-related stressors,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114452724040.0,I Agree (Continue with Survey),Female,26-30 years,Warehousing,,10,10,10,7,7,7,,,10,10,10,10,10,,,GYM/AEROBICS,ZUMBA,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114452712525.0,I Agree (Continue with Survey),Male,31-35 years,Warehousing,,5,5,5,5,8,8,10,,1,1,10,,10,1,,,,,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,,,,,,financial investments,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
114451870810.0,I Agree (Continue with Survey),Male,26-30 years,Plant operations,,3,3,3,10,10,6,1,1,1,5,2,4,1,1,,,,,,CYCLING,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,,,,,,,,,,,
114451519399.0,I Agree (Continue with Survey),Male,50+ years,Security,,6,6,5,4,1,4,1,1,1,6,6,1,6,1,,,,,,,,,,,BOOK CLUB,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,,Work-life balance,Lifestyle diseases management,,,,,,,,,,,,,
114451504815.0,I Agree (Continue with Survey),Male,41-45 years,Warehousing,,2,1,3,1,5,8,3,9,1,3,10,9,8,2,Walking 30 mins a day,GYM/AEROBICS,,SWIMMING,,CYCLING,,,MEN'S CAVE,,,,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,Relaxation modules,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,Career programs,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",wellness programs
114450586593.0,I Agree (Continue with Survey),Male,31-35 years,Finance,,10,,1,2,1,7,1,5,,1,5,2,2,2,,GYM/AEROBICS,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114451427198.0,I Agree (Continue with Survey),Female,36-40 years,HR,,10,10,,6,10,7,,,7,,,10,,6,,,ZUMBA,,,CYCLING,,,,,,,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,,,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114451425510.0,I Agree (Continue with Survey),Female,31-35 years,HR,,7,10,10,10,10,10,1,10,10,10,10,10,10,10,,,,SWIMMING,,,,,MEN'S CAVE,LADIES CLUB,BOOK CLUB,,STAIRCASE/STEP CHALLENGE,,QUIZ DAYS,,,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,,,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
