Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,Other (please specify),"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Ranking wellness activities preference and participation(1 least 10 highest)- ZUMBA,Ranking wellness activities preference and participation(1 least 10 highest)- SWIMMING,Ranking wellness activities preference and participation(1 least 10 highest)- HIKING,Ranking wellness activities preference and participation(1 least 10 highest)- CYCLING,Ranking wellness activities preference and participation(1 least 10 highest)- RUNNING,Ranking wellness activities preference and participation(1 least 10 highest)- FOOTBALL,Ranking wellness activities preference and participation(1 least 10 highest)- MEN’ S CAVE,Ranking wellness activities preference and participation(1 least 10 highest)- LADIES CLUB,Ranking wellness activities preference and participation(1 least 10 highest)- BOOK CLUB,Ranking wellness activities preference and participation(1 least 10 highest)- DIET/NUTRITION PROGRAMS,Ranking wellness activities preference and participation(1 least 10 highest)- STAIRCASE/STEP CHALLENGE,Ranking wellness activities preference and participation(1 least 10 highest)- MEDITATION/YOGA/MUSIC,Ranking wellness activities preference and participation(1 least 10 highest)- QUIZ DAYS,Ranking wellness activities preference and participation(1 least 10 highest)- Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee inerested joining - ZUMBA,Champion/Committee inerested joining - SWIMMING,Champion/Committee inerested joining - HIKING,Champion/Committee inerested joining - CYCLING,Champion/Committee inerested joining - RUNNING,Champion/Committee inerested joining - FOOTBALL,Champion/Committee inerested joining - MEN'S CAVE,Champion/Committee inerested joining - LADIES CLUB,Champion/Committee inerested joining - BOOK CLUB,Champion/Committee inerested joining - DIET/NUTRITION PROGRAMS,Champion/Committee inerested joining - STAIRCASE/STEP CHALLENGE,Champion/Committee inerested joining - MEDITATION/YOGA/MUSIC,Champion/Committee inerested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues requested to adress - Work/job-related stressors,Mental wellness issues requested to adress - Building Healthy families,Mental wellness issues requested to adress - Emotional Wellbeing,Mental wellness issues requested to adress - Financial Wellbeing,"Mental wellness issues requested to adress - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues requested to adress - Substance and Drug Dependence,Mental wellness issues requested to adress - Healthy Relationships,Mental wellness issues requested to adress - Unresolved Childhood Difficulties,Mental wellness issues requested to adress - Anxiety and Depression,Mental wellness issues requested to adress - Work-life balance,Mental wellness issues requested to adress - Lifestyle diseases management,Mental wellness issues requested to adress - Effective Parenting skills (Managing children and teenagers),Mental wellness issues requested to adress - Other (please specify),Which of the following training programs would you like to attend?,Training programs interested joining - Mental Health Peer counsellor,Training programs interested joining - Baby minder trainings (training for your nannies),Training programs interested joining - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs interested joining - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training programs interested joining - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health and wellbeing clubs interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health and wellbeing clubs interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health and wellbeing clubs interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health and wellbeing clubs interested joining - Other (please specify)
114510037503.0,I Agree (Continue with Survey),Female,31-35 years,Finance and Procurement,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,STAIRCASE/STEP CHALLENGE,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114510019432.0,I Agree (Continue with Survey),Male,31-35 years,ICT,,10,10,10,10,10,10,10,10,,,10,,,,"The academy needs to encourage staff to participate in national marathons like Stanchart, Mater, Nairobi & Lewa by paying fees, Organising for staff sports day, providing balanced and diversified diets at the DH, using better quality cooking oils and not solid  fat and supporting staff sport teams ",,,SWIMMING,HIKING,CYCLING,RUNNING,FOOTBALL,MEN'S CAVE,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114510026839.0,I Agree (Continue with Survey),Male,31-35 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,7,5,5,8,8,10,7,10,8,8,10,7,5,5,,,,,HIKING,,RUNNING,FOOTBALL,MEN'S CAVE,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114510022031.0,I Agree (Continue with Survey),Female,31-35 years,Finance and Procurement,,,10,10,1,1,1,1,1,10,5,10,5,10,1,,,ZUMBA,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,,Emotional Wellbeing,,,,,,Anxiety and Depression,,,,,,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114510001597.0,I Agree (Continue with Survey),Female,50+ years,"Student Life (Residential, Sports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114509981395.0,I Agree (Continue with Survey),Female,31-35 years,Hospitality,,1,6,8,3,1,1,1,,1,4,7,6,8,4,,,ZUMBA,SWIMMING,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114506038857.0,I Agree (Continue with Survey),Male,41-45 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,4,5,7,5,6,3,2,3,8,5,8,2,8,4,Badminton,,,,,,,,,,,,,,,,,,Emotional Wellbeing,,,,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509491793.0,I Agree (Continue with Survey),Male,26-30 years,Facilities,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,SWIMMING,,,,,,,,,,,,Personal issues,,,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509472586.0,I Agree (Continue with Survey),Male,36-40 years,"Faculty  (Teachers, Teaching Support, Careers, Entrepreneurship)",,10,1,4,6,8,8,10,10,1,1,1,10,5,9,"Chillouts, camping, balloon ride, kayaking, ",,,,HIKING,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
114509456414.0,I Agree (Continue with Survey),Female,41-45 years,"Security, Logistics and admissions",,9,5,1,1,1,5,1,1,5,1,10,5,6,9,,,,,,,,,,,,,,,QUIZ DAYS,,,Building Healthy families,,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
