Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective City/Town of operation,Rank the below wellness activities in order of your preference and participation in the year 2025 (with 1 being the lowest score and 10 the highest).,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - QUIZ DAYS,Ranking Wellness Activity proposed in order of preference/participation (1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Would Like To Join as Champion or Committee Member - ZUMBA,Would Like To Join as Champion or Committee Member - SWIMMING,Would Like To Join as Champion or Committee Member - HIKING,Would Like To Join as Champion or Committee Member - CYCLING,Would Like To Join as Champion or Committee Member - RUNNING,Would Like To Join as Champion or Committee Member - FOOTBALL,Would Like To Join as Champion or Committee Member - MEN'S CAVE,Would Like To Join as Champion or Committee Member - LADIES CLUB,Would Like To Join as Champion or Committee Member - BOOK CLUB,Would Like To Join as Champion or Committee Member - DIET/NUTRITION PROGRAMS,Would Like To Join as Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Would Like To Join as Champion or Committee Member - MEDITATION/YOGA/MUSIC,Would Like To Join as Champion or Committee Member - QUIZ DAYS,Would Like To Join as Champion or Committee Member - Other (please specify),"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Would Like To Attend - Mental Health Peer counsellor,Training Programs Would Like To Attend - Baby minder trainings (training for your nannies),Training Programs Would Like To Attend - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Would Like To Attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Would Like To Attend - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify),Do you have a preferred gym?,"Please state the name, location and phone number of your preferred gym.",Location
118867125146.0,I Agree (Continue with Survey),Male,36-40 years,Nairobi,10,5,8,10,8,8,8,10,1,7,8,8,1,1,,,,,,,RUNNING,FOOTBALL,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,The Mark Hotel,Bypass Kamakis
118867005248.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,2,3,1,9,4,9,10,10,6,5,6,7,9,10,,,,SWIMMING,,,,,,,,,,,,,,,Building Healthy families,,,,,,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Smart Gyms,The hub karen
118866916272.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,10,1,1,10,1,1,1,1,10,10,10,10,1,10,,,,,,,,,,,,,,,,N/a,,,Building Healthy families,,Financial Wellbeing,,,,,,,,Effective Parenting skills (Managing children and teenagers),,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Safari Fitness Health Club-Safari Park Hotel,Thika Road
118866865252.0,I Agree (Continue with Survey),Female,46-50 years,Mombasa,10,9,9,3,1,1,1,1,7,7,10,1,8,6,,GYM/AEROBICS,,,,,,,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,,Yes,Nyali crossfit and gym,Nyali
118866864235.0,I Agree (Continue with Survey),Male,36-40 years,Nairobi,5,1,1,5,10,10,4,9,,1,4,6,3,1,,,,,,CYCLING,RUNNING,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Lennix Gym ,Ruaka
118866865253.0,I Agree (Continue with Survey),Female,41-45 years,Mombasa,7,8,10,9,10,6,2,1,10,10,9,7,7,8,,,,SWIMMING,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Faiz gym ,Nyali executive 
118866786339.0,I Agree (Continue with Survey),Female,46-50 years,Nairobi,9,8,8,9,,7,,,1,3,9,6,8,,Dance,,,,HIKING,,,,,,,,,,,,Personal issues,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Lennix Gym ,Ruaka - Gacharage Junction 
118866746801.0,I Agree (Continue with Survey),Female,31-35 years,Nairobi,7,6,3,7,7,7,2,1,8,3,9,7,5,8,,GYM/AEROBICS,,,,,,,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Shred fitness,Langata 
118865938972.0,I Agree (Continue with Survey),Male,50+ years,Nairobi,10,2,4,9,1,8,1,1,1,10,8,5,9,1,,GYM/AEROBICS,,,,,,,,,,,,,,,,Work/job-related stressors,,,,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,dojo,Karen
118865862621.0,I Agree (Continue with Survey),Female,26-30 years,Nairobi,9,8,6,3,2,5,,,5,8,8,3,2,5,,,,,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",,Yes,Evolve Fitness Gym,"Phenom Estate, Nairobi"
