Respondent ID,Please select your gender ,Kindly select your age group,Please select your local business unit,"Overall, how do you rate the state of your mental well-being?",Please reflect on the mental wellness related issues listed below and select all the areas you would like us to address in our regular sessions.,Mental wellness issues requested to address - Emotional intelligence,Mental wellness issues requested to address - Financial constraints,Mental wellness issues requested to address - Trauma,Mental wellness issues requested to address - Work Life Balance,Mental wellness issues requested to address - Substance and Drug Dependence,Mental wellness issues requested to address - Bereavement and Loss,Mental wellness issues requested to address - Relationship Difficulties,Mental wellness issues requested to address - Unresolved Childhood Difficulties,Mental wellness issues requested to address - Anxiety and Depression,Mental wellness issues requested to address - Other (please specify),What challenges are you currently facing?  ,Current challenges facing employees - Fear of the unknown,Current challenges facing employees - Anxiety,Current challenges facing employees - Feeling overwhelmed and isolated,Current challenges facing employees - Fear of contracting Covid-19,Current challenges facing employees - Financial issues,Current challenges facing employees - Relationship issues,Current challenges facing employees - Fear of losing my job,Current challenges facing employees - Parenting,Current challenges facing employees - Other (please specify),"Over the last month, have you had difficulty sleeping?",Do you have trouble thinking clearly?,Do you cry more than usual?,Do you find it difficult to enjoy your daily activities?,Do you find it difficult to make decisions?,Are you unable to play a useful part in life?,Have you lost interest in things you previously enjoyed doing?,"To what extent do you agree with the following statement ""I feel I have nothing to look forward to""",Has the thought of ending your life been on your mind?,Do you feel tired all the time?,On what areas would you require support on?,Would you like us to connect you and/or your dependents with our professional counselors for support?  
118025606292.0,Male,35-44,PAUL,Fair,,,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Yes,No,Sometimes,Sometimes,Sometimes,Yes,Neutral,Yes,Sometimes,work life balance,Yes
118025600045.0,Female,25-34,PAUL,Fair,,,Financial constraints,,,,,,,Anxiety and Depression,,,,Anxiety,,,Financial issues,,,,,Yes,Maybe,No,Sometimes,Sometimes,Sometimes,Maybe,Strongly disagree,No,Sometimes,,No
118025575298.0,Male,35-44,PLAZ,Excellent,,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,,,,,,Financial issues,Relationship issues,,,,No,No,No,No,No,No,No,Strongly disagree,No,No,Financial management ,Yes
118025565312.0,Male,35-44,PAUL,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,none,,,,,,,,,,none,No,No,No,No,No,No,No,Strongly disagree,No,No,none,No
118025278046.0,Female,25-34,PLAZ,Good,Work/job related stressors,,,,Work Life Balance,Substance and Drug Dependence,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,,,,,,,,Yes,Maybe,No,Sometimes,Yes,No,Yes,Disagree,No,No,Anxiety and overthinking ,Yes
118025217247.0,Male,25-34,PLAZ,Good,,Emotional intelligence,,Trauma,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,Sometimes,No,No,No,Disagree,No,Sometimes,Not that I can tell,No
118025208799.0,Male,55-64,PAUL,Good,Work/job related stressors,,,,,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,No,No,Maybe,Strongly disagree,No,No,Work/life balance,No
118025152420.0,Male,25-34,PAUL,Excellent,,,,,Work Life Balance,,,,,,,,,,,,Financial issues,,,,,No,No,No,No,No,No,,Strongly disagree,No,No,,No
118025094448.0,Female,35-44,PAUL,Good,Work/job related stressors,,Financial constraints,,Work Life Balance,,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Work life balance,,Anxiety,,,Financial issues,,,Parenting,,No,Maybe,No,Sometimes,Sometimes,No,No,Disagree,No,Sometimes,Work related stress(workload and workmates with negative energy.,No
118025046334.0,Female,25-34,PAUL,Good,,,,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,No,No,No,No,Disagree,No,No,Planning,No
118025009367.0,Male,25-34,PAUL,Good,,,Financial constraints,,Work Life Balance,,,,,,,,,,,,Financial issues,,,,,No,No,No,Sometimes,No,No,No,Disagree,No,No,May be if my salary can be revised.,No
118025002875.0,Male,25-34,PAUL,Good,,,Financial constraints,,Work Life Balance,,,,,,,,,,,,Financial issues,,,,,No,No,No,Sometimes,No,No,No,Disagree,No,No,May be if my salary can be revised.,No
118024993165.0,Male,25-34,PPMZ,Good,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Work Life Balance,,Bereavement and Loss,Relationship Difficulties,,Anxiety and Depression,,Work life balance,Fear of the unknown,Anxiety,Feeling overwhelmed and isolated,,,Relationship issues,Fear of losing my job,,,Yes,Maybe,No,Sometimes,No,No,Yes,Disagree,No,Yes,Work life balance ,Yes
118024987416.0,Female,25-34,PPMZ,Good,,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,Anxiety and Depression,,Work life balance,,,Feeling overwhelmed and isolated,,,,,,,No,No,No,No,No,No,No,Strongly disagree,No,Yes,,Yes
118024980827.0,Female,25-34,PLAZ,Poor,Work/job related stressors,,Financial constraints,Trauma,,,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,,,Anxiety,Feeling overwhelmed and isolated,,Financial issues,,,,,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Neutral,Yes,Sometimes,All the selected areas ,Yes
118024976349.0,Male,35-44,PAUL,Good,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,,,,,,Work life balance,,,,,,,,,,No,No,No,Sometimes,No,No,No,Strongly disagree,No,Sometimes,Work life balance ,No
118024960928.0,Female,55-64,PLAZ,Excellent,,Emotional intelligence,,,,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Strongly disagree,No,No,,No
118024955853.0,Male,35-44,PLAZ,Excellent,Work/job related stressors,Emotional intelligence,Financial constraints,,Work Life Balance,,Bereavement and Loss,,,,,Work life balance,,,,,Financial issues,,,,,Yes,No,No,Sometimes,Sometimes,Sometimes,Maybe,Disagree,No,No,Financial management ,No
118024924732.0,Female,35-44,PPMZ,Fair,Work/job related stressors,,,,Work Life Balance,,,,,,,Work life balance,,,Feeling overwhelmed and isolated,,,,,,,Yes,Maybe,Yes,Sometimes,Sometimes,Sometimes,Yes,Neutral,No,Yes,"leave , work life balance",No
