Respondent ID,Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/Committee Interested Joining - ZUMBA,Champion/Committee Interested Joining - SWIMMING,Champion/Committee Interested Joining - HIKING,Champion/Committee Interested Joining - CYCLING,Champion/Committee Interested Joining - RUNNING,Champion/Committee Interested Joining - FOOTBALL,Champion/Committee Interested Joining - MEN'S CAVE,Champion/Committee Interested Joining - LADIES CLUB,Champion/Committee Interested Joining - BOOK CLUB,Champion/Committee Interested Joining - DIET/NUTRITION PROGRAMS,Champion/Committee Interested Joining - STAIRCASE/STEP CHALLENGE,Champion/Committee Interested Joining - MEDITATION/YOGA/MUSIC,Champion/Committee Interested Joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issue requestes to address - Work/job-related stressors,Mental Wellness Issue requestes to address - Building Healthy families,Mental Wellness Issue requestes to address - Emotional Wellbeing,Mental Wellness Issue requestes to address - Financial Wellbeing,"Mental Wellness Issue requestes to address - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issue requestes to address - Substance and Drug Dependence,Mental Wellness Issue requestes to address - Healthy Relationships,Mental Wellness Issue requestes to address - Unresolved Childhood Difficulties,Mental Wellness Issue requestes to address - Anxiety and Depression,Mental Wellness Issue requestes to address - Work-life balance,Mental Wellness Issue requestes to address - Lifestyle diseases management,Mental Wellness Issue requestes to address - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issue requestes to address - Other (please specify),Which of the following training programs would you like to attend?,Training Program Interested Attending - Mental Health Peer counsellor,Training Program Interested Attending - Baby minder trainings (training for your nannies),Training Program Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Program Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Program Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Club Interested Joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Club Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Club Interested Joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Club Interested Joining - Other (please specify)
118540096463.0,Male,46-50 years,Marketing,6,4,5,1,8,10,5,9,,2,9,7,5,5,,,,,,,RUNNING,,MEN'S CAVE,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,,,Substance and Drug Dependence,Healthy Relationships,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539331786.0,Male,31-35 years,Kenya Mortgage,10,3,9,5,5,5,9,5,5,5,9,5,6,2,,,,,,,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539274824.0,Female,31-35 years,Kenya Mortgage,3,7,2,2,2,2,2,1,2,7,6,3,8,6,,,,,,,,,,,BOOK CLUB,,,MEDITATION/YOGA/MUSIC,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,,,,,,,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
118539384902.0,Male,31-35 years,Member Service & Admin,10,1,5,5,5,6,10,10,1,7,7,4,10,9,,GYM/AEROBICS,,,,,,FOOTBALL,MEN'S CAVE,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539350389.0,Female,41-45 years,Nairobi Contact Center,10,3,3,2,4,8,5,,10,10,10,9,1,9,,,,,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539314029.0,Female,36-40 years,Member Service & Admin,8,5,6,7,5,5,1,1,1,3,4,1,10,6,,,,,,,,,,,,,,,,,,,Emotional Wellbeing,,,,,,,,,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539305813.0,Female,50+ years,Member Service & Admin,10,8,3,1,1,8,1,,9,,7,2,6,3,,GYM/AEROBICS,ZUMBA,,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,,,Lifestyle diseases management,,Managing and relating with adult children,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Financial well being club
118539301542.0,Male,36-40 years,Member Service & Admin,1,,,,,,,,,,,,,,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,,
118539281487.0,Female,31-35 years,Member Service & Admin,10,10,10,1,9,1,1,1,10,10,10,10,10,1,,GYM/AEROBICS,ZUMBA,SWIMMING,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,Building Healthy families,Emotional Wellbeing,,,,,Unresolved Childhood Difficulties,,,,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539279375.0,Female,41-45 years,Kenya Mortgage,2,2,9,1,9,3,1,1,5,10,10,8,4,9,,,,,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,,,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118539274185.0,Female,46-50 years,Member Service & Admin,9,8,1,10,2,6,1,1,10,5,3,6,9,10,,,,,,,,,,,,,,,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539274215.0,Male,36-40 years,Information Technology,9,,,9,9,,,,,,9,9,9,,,GYM/AEROBICS,,,HIKING,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,Building Healthy families,,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539274024.0,Male,46-50 years,Member Service & Admin,5,3,2,2,9,2,10,10,1,2,9,8,10,10,,,,,,CYCLING,,FOOTBALL,MEN'S CAVE,,,,,MEDITATION/YOGA/MUSIC,QUIZ DAYS,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539257331.0,Female,31-35 years,Nairobi Contact Center,9,9,9,6,7,9,9,2,9,9,9,9,5,9,,,ZUMBA,SWIMMING,,,RUNNING,,,LADIES CLUB,,,,,QUIZ DAYS,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539258561.0,Male,31-35 years,Member Service & Admin,10,6,10,6,6,6,4,10,,9,10,9,9,10,,,,SWIMMING,,,,,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118539246223.0,Female,31-35 years,Nairobi Contact Center,6,9,9,4,5,4,4,4,8,8,8,6,9,9,,,ZUMBA,SWIMMING,,,,,,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118537807083.0,Male,46-50 years,Member Service & Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
