Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Are you aware of the Employee Assistance Program EAP available to you through Minet?,"If you are aware of the EAP, how comfortable do you feel using it to access support for personal or work-related issues?",Have you ever used the Employee Assistance Program (EAP)?,"If yes, how satisfied were you with the services you received from the EAP?","If you have not used the EAP, what are the main reasons? (Select all that apply)",EAP Non-Use Reason - Don’t think I need the services,EAP Non-Use Reason - Privacy concerns,EAP Non-Use Reason - Don’t feel comfortable using it,EAP Non-Use Reason - Lack of time to use the services,EAP Non-Use Reason - I prefer to handle issues on my own,EAP Non-Use Reason - Other (please specify),"What, if anything, would encourage you to use the EAP in the future?",What would Encourage you to use EAP in future - Other (please specify),Would you like us to link you or your dependents to our professional counselors for support?,"If yes, please provide your contact information",Do yo have any suggestions for improving the Employee Assistance Program?,Any additional comments or thoughts regarding the EAP?,How would you rate the state of your mental well-being?,What challenges are you currently facing?,Current Challenges - Other (please specify),Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Adressed - Emotional intelligence,Mental Wellness Issues Would Like Adressed - Financial constraints,Mental Wellness Issues Would Like Adressed - Trauma,Mental Wellness Issues Would Like Adressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Adressed - Relationship Difficulties,Mental Wellness Issues Would Like Adressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Adressed - Anxiety and Depression,Mental Wellness Issues Would Like Adressed - Other (please specify),How many hours do you sleep per day?,How often do you smoke?,How often do you drink alcohol?,How would you rate your overall nutrition and eating habits?,Do you regularly schedule and attend annual wellness checkups with a healthcare provider?,How would you describe your exercise routine or physical activity level?,Which of the following physical activities do you regularly engage in? (Select all that apply),Which Physical Activities Do You Regularly Engage In - Running or Jogging,Which Physical Activities Do You Regularly Engage In - Cycling,Which Physical Activities Do You Regularly Engage In - Swimming,"Which Physical Activities Do You Regularly Engage In - Strength training (e.g., weightlifting, resistance exercises)",Which Physical Activities Do You Regularly Engage In - Yoga or Pilates,"Which Physical Activities Do You Regularly Engage In - Team sports (e.g., soccer, basketball, volleyball)",Which Physical Activities Do You Regularly Engage In - Hiking,Which Physical Activities Do You Regularly Engage In - Dancing,Which Physical Activities Do You Regularly Engage In - Other (please specify)
114816543549.0,I Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114815601370.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,,,,,Fairely new staff,More awareness/education about the program,,No,,,,Good,Parenting,,Work/job related stressors,Emotional intelligence,,Trauma,,,Unresolved Childhood Difficulties,,,7 - 9,Never,Never,Neutral,"Yes, I attend checkups every year",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,,,,,,,,Swimming
114814129668.0,I Agree,Yes,Comfortable,No,Satisfied,Not aware of how to access it,,,,,,,More awareness/education about the program,,Yes,,,,Good,Fear of the unknown,,Work/job related stressors,,Financial constraints,,,,,,,4 - 6,Never,Once in a few weeks,Neutral,"Yes, I attend checkups every year",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,,,,,,,,
114814044464.0,I Agree,Yes,Comfortable,No,Satisfied,,,,,,,I am currently okay and I have supportive colleagues and supervisors.,Increased privacy/confidentiality,,No,,None ,none,Excellent,Fear of the unknown,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,7 - 9,Never,Once in a few weeks,Healthy,"No, I haven’t had one in the past year but plan to",Very Active (I exercise vigorously most days of the week),Walking,Running or Jogging,,,,,"Team sports (e.g., soccer, basketball, volleyball)",,,
114813947909.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,,,Privacy concerns,,,,,More awareness/education about the program,,Yes,,,,Very Good,Financial challenges,,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,4 - 6,Never,Once in a few weeks,Very Unhealthy,"Yes, I attend checkups every year",·Active (I engage in moderate exercise several times a week),Walking,,,,,,"Team sports (e.g., soccer, basketball, volleyball)",Hiking,,
114812516662.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,Not aware of how to access it,,Privacy concerns,,Lack of time to use the services,,,More awareness/education about the program,,No,,no,It is a thoughtful program,Good,Financial challenges,,,,Financial constraints,,,,,,,4 - 6,Never,Never,Healthy,"No, I haven’t had one in the past year but plan to",·Active (I engage in moderate exercise several times a week),Walking,,,,,Yoga or Pilates,,,Dancing,
114812480774.0,I Agree,Yes,Very uncomfortable,No,Very satisfied,,Don’t think I need the services,,,,,,More awareness/education about the program,,No,,no,,Very Good,Fear of the unknown,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,,,7 - 9,Never,Once in a few weeks,Neutral,"No, I haven’t had one in the past year but plan to",·Active (I engage in moderate exercise several times a week),Walking,,,,"Strength training (e.g., weightlifting, resistance exercises)",,,,,
114810930900.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,,,,,,,I am a very happy girl. :),Other (please specify),"Maybe educational programs like financial literacy, emotional intelligence, conflict management, etc.",No,,None at the moment.,,Excellent,Other (please specify),I am a very happy girl. :) ,,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,7 - 9,Never,Never,Healthy,"Yes, but sometimes I miss or delay them",·Active (I engage in moderate exercise several times a week),Walking,,,Swimming,"Strength training (e.g., weightlifting, resistance exercises)",,,,Dancing,
114812455479.0,I Agree,Yes,Neutral,No,Neither satisfied nor dissatisfied,,,,,,,I don't know what kind of problems I can be assisted with,More awareness/education about the program,,No,,Make it more visible so that it is top-of-mind,Looking forward to learning what help I can get. I feel it is a great initiative for us.,Poor,Other (please specify),"Diagnosed with depression, ADHD, Bipolar mood disorder",,,,Trauma,,,Unresolved Childhood Difficulties,Anxiety and Depression,,7 - 9,Never,Once in a few weeks,Very Unhealthy,"No, I don’t attend regular checkups",Inactive (I rarely engage in any form of exercise or physical activity),,,Cycling,,,,,,,
114812456749.0,I Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114812453479.0,I Agree,Yes,Comfortable,No,Neither satisfied nor dissatisfied,,,,,,,been procrastinating ,Other (please specify),more ways to access e.g via whatsapp,Yes,,are chat options available? instead of call,,Very Good,Anxiety,,,Emotional intelligence,,Trauma,,,,Anxiety and Depression,,7 - 9,Never,Never,Healthy,"Yes, I attend checkups every year",Occasionally Active (I exercise occasionally or do light physical activities),Walking,,,,,,,,,
