Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please tick your respective functional unit below,"Rank the below wellness activities in order of your preference and participation in the year 2025 (1 being the lowest, while 10 being the highest score)",Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - ZUMBA,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - SWIMMING,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - HIKING,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - CYCLING,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - RUNNING,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - FOOTBALL,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - MEN’ S CAVE,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - LADIES CLUB,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - BOOK CLUB,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - MEDITATION/YOGA/MUSIC,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - QUIZ DAYS,Rank of Wellness Activities In Order Of Preference/Participation(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness Activity Would Like To Join as Champion Or Committee Member - ZUMBA,Wellness Activity Would Like To Join as Champion Or Committee Member - SWIMMING,Wellness Activity Would Like To Join as Champion Or Committee Member - HIKING,Wellness Activity Would Like To Join as Champion Or Committee Member - CYCLING,Wellness Activity Would Like To Join as Champion Or Committee Member - RUNNING,Wellness Activity Would Like To Join as Champion Or Committee Member - FOOTBALL,Wellness Activity Would Like To Join as Champion Or Committee Member - MEN'S CAVE,Wellness Activity Would Like To Join as Champion Or Committee Member - LADIES CLUB,Wellness Activity Would Like To Join as Champion Or Committee Member - BOOK CLUB,Wellness Activity Would Like To Join as Champion Or Committee Member - DIET/NUTRITION PROGRAMS,Wellness Activity Would Like To Join as Champion Or Committee Member - STAIRCASE/STEP CHALLENGE,Wellness Activity Would Like To Join as Champion Or Committee Member - MEDITATION/YOGA/MUSIC,Wellness Activity Would Like To Join as Champion Or Committee Member - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental Wellness Issues Would Like Addressed - Work/job-related stressors,Mental Wellness Issues Would Like Addressed - Building Healthy families,Mental Wellness Issues Would Like Addressed - Emotional Wellbeing,Mental Wellness Issues Would Like Addressed - Financial Wellbeing,"Mental Wellness Issues Would Like Addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Healthy Relationships,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Work-life balance,Mental Wellness Issues Would Like Addressed - Lifestyle diseases management,Mental Wellness Issues Would Like Addressed - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues Would Like Addressed - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Interested Attending - Mental Health Peer counsellor,Training Programs Interested Attending - Baby minder trainings (training for your nannies),Training Programs Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify)
118867557069.0,I Agree (Continue with Survey),Female,50+ years,Supply Chain and Logistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118863912981.0,I Agree (Continue with Survey),Male,36-40 years,Supply Chain and Logistics.,,,,,,,,,,,,,,,,,,,,,,FOOTBALL,,,,,,,,Personal issues,,Building Healthy families,,,,,,,,,,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,,
118863085319.0,I Agree (Continue with Survey),Male,41-45 years,Finance,,,,,,4,,,,,,,,,,,,,,,,,MEN'S CAVE,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,,,,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118863071299.0,I Agree (Continue with Survey),Female,36-40 years,Finance,,9,10,10,10,2,1,1,1,,9,1,,1,none,,ZUMBA,SWIMMING,HIKING,CYCLING,,,,,,,,,,Personal issues,,Building Healthy families,Emotional Wellbeing,,,,Healthy Relationships,,,Work-life balance,,,none,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),none,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",none
118863071308.0,I Agree (Continue with Survey),Female,36-40 years,Supply Chain and Logistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118862785442.0,I Agree (Continue with Survey),Female,31-35 years,Sales,10,10,9,8,1,1,10,,10,5,9,10,10,9,,GYM/AEROBICS,ZUMBA,,HIKING,,,FOOTBALL,,,,,,,,Personal issues,,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118858746980.0,I Agree (Continue with Survey),Female,41-45 years,Finance,2,4,,5,,,,,9,8,10,3,6,7,,,,,,,,,,,BOOK CLUB,,,,,,,Building Healthy families,Emotional Wellbeing,,,,,Unresolved Childhood Difficulties,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118861473226.0,I Agree (Continue with Survey),Male,50+ years,Supply Chain and Logistics.,1,1,1,1,1,8,7,1,1,1,9,8,9,1,,,,,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,,,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,,Lifestyle diseases management,,,,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118861468060.0,I Agree (Continue with Survey),Male,36-40 years,Sales,8,5,,8,6,6,4,9,,4,8,5,6,3,,GYM/AEROBICS,,,,,,,,,,,,,,,,,,,,,Healthy Relationships,,,,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
118860591044.0,I Agree (Continue with Survey),Female,26-30 years,People and Culture,8,1,1,1,10,7,1,1,2,1,8,9,10,1,,,ZUMBA,,HIKING,CYCLING,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,Personal issues,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",
