Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Which of the above would you like to join as a champion or a committee member?,Which wellness activities would you like to join as a champion/committee member - ZUMBA,Which wellness activities would you like to join as a champion/committee member - SWIMMING,Which wellness activities would you like to join as a champion/committee member - HIKING,Which wellness activities would you like to join as a champion/committee member - CYCLING,Which wellness activities would you like to join as a champion/committee member - RUNNING,Which wellness activities would you like to join as a champion/committee member - FOOTBALL,Which wellness activities would you like to join as a champion/committee member - MEN'S CAVE,Which wellness activities would you like to join as a champion/committee member - LADIES CLUB,Which wellness activities would you like to join as a champion/committee member - BOOK CLUB,Which wellness activities would you like to join as a champion/committee member - DIET/NUTRITION PROGRAMS,Which wellness activities would you like to join as a champion/committee member - STAIRCASE/STEP CHALLENGE,Which wellness activities would you like to join as a champion/committee member - MEDITATION/YOGA/MUSIC,Which wellness activities would you like to join as a champion/committee member - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issues to address in sessions - Work/job-related stressors,Mental wellness issues to address in sessions - Building Healthy families,Mental wellness issues to address in sessions - Emotional Wellbeing,Mental wellness issues to address in sessions - Financial Wellbeing,"Mental wellness issues to address in sessions - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issues to address in sessions - Substance and Drug Dependence,Mental wellness issues to address in sessions - Healthy Relationships,Mental wellness issues to address in sessions - Unresolved Childhood Difficulties,Mental wellness issues to address in sessions - Anxiety and Depression,Mental wellness issues to address in sessions - Work-life balance,Mental wellness issues to address in sessions - Lifestyle diseases management,Mental wellness issues to address in sessions - Effective Parenting skills (Managing children and teenagers),Which of the following training programs would you like to attend?,Training programs Interested attending - Mental Health Peer counsellor,Training programs Interested attending - Baby minder trainings (training for your nannies),Training programs Interested attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs Interested attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing clubs Interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing clubs Interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing clubs Interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118536595606.0,I Agree (Continue with Survey),Male,31-35 years,Planning and Performance,2,,,3,,,1,,,5,,,6,,,,,,,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,,,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,,,Wellness coordinators/ Ambassador for Change,,,,,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,
118535866154.0,I Agree (Continue with Survey),Female,26-30 years,Conservation,5,5,3,5,1,1,1,1,4,4,5,5,4,2,,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118535754654.0,I Agree (Continue with Survey),Female,36-40 years,Conservation,10,9,8,,,,,,,,7,7,8,,,,,,,RUNNING,,,,,,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118534144065.0,I Agree (Continue with Survey),Male,31-35 years,Conservation,,,,,,10,,,,,,,10,,,,,,,RUNNING,,,,,,,MEDITATION/YOGA/MUSIC,,,,,,Financial Wellbeing,,,,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118531938976.0,I Agree (Continue with Survey),Male,41-45 years,Finance,10,8,10,10,10,6,7,6,,5,10,10,10,10,GYM/AEROBICS,,,,,,,,,,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,,,Personal issues,,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118531820576.0,I Agree (Continue with Survey),Female,36-40 years,Conservation,1,1,1,1,1,1,1,1,,2,2,2,3,3,GYM/AEROBICS,,,,,,,,,,,,,,,,,,,,,,,Anxiety and Depression,Work-life balance,,,,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118531457528.0,I Agree (Continue with Survey),Male,36-40 years,Operations,6,,7,,7,7,7,,,,,,,,,,SWIMMING,,,,,,,,,,,,,Work/job-related stressors,,Emotional Wellbeing,,,,Healthy Relationships,,,Work-life balance,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529891339.0,I Agree (Continue with Survey),Male,31-35 years,People and Culture,9,,9,,10,,,,,,,,,,,,SWIMMING,,CYCLING,,FOOTBALL,,,,,,,,,,,Emotional Wellbeing,,,,Healthy Relationships,,,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529794062.0,I Agree (Continue with Survey),Male,36-40 years,Operations,1,1,1,5,3,4,3,1,,1,1,1,1,1,,,,,,,,,,,,,MEDITATION/YOGA/MUSIC,,,,Building Healthy families,,,,,Healthy Relationships,,,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
118529771770.0,I Agree (Continue with Survey),Female,31-35 years,Finance,10,10,3,1,1,1,4,,6,7,10,10,7,8,,,,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
