Respondent ID,Please select your gender ,Kindly select your age group,Please indicate your department.,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)",Rank of wellness activities preference and participation (1 Least - 10 Highest) - ZUMBA,Rank of wellness activities preference and participation (1 Least - 10 Highest) - SWIMMING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - HIKING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - CYCLING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - RUNNING,Rank of wellness activities preference and participation (1 Least - 10 Highest) - FOOTBALL,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEN’ S CAVE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - LADIES CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - BOOK CLUB,Rank of wellness activities preference and participation (1 Least - 10 Highest) - DIET/NUTRITION PROGRAMS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - STAIRCASE/STEP CHALLENGE,Rank of wellness activities preference and participation (1 Least - 10 Highest) - MEDITATION/YOGA/MUSIC,Rank of wellness activities preference and participation (1 Least - 10 Highest) - QUIZ DAYS,Rank of wellness activities preference and participation (1 Least - 10 Highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Champion/committee interested joining - ZUMBA,Champion/committee interested joining - SWIMMING,Champion/committee interested joining - HIKING,Champion/committee interested joining - CYCLING,Champion/committee interested joining - RUNNING,Champion/committee interested joining - FOOTBALL,Champion/committee interested joining - MEN'S CAVE,Champion/committee interested joining - LADIES CLUB,Champion/committee interested joining - BOOK CLUB,Champion/committee interested joining - DIET/NUTRITION PROGRAMS,Champion/committee interested joining - STAIRCASE/STEP CHALLENGE,Champion/committee interested joining - MEDITATION/YOGA/MUSIC,Champion/committee interested joining - QUIZ DAYS,Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (tick more than one option).,Mental wellness issue would like addressed - Work/job-related stressors,Mental wellness issue would like addressed - Building Healthy families,Mental wellness issue would like addressed - Emotional Wellbeing,Mental wellness issue would like addressed - Financial Wellbeing,"Mental wellness issue would like addressed - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental wellness issue would like addressed - Substance and Drug Dependence,Mental wellness issue would like addressed - Healthy Relationships,Mental wellness issue would like addressed - Unresolved Childhood Difficulties,Mental wellness issue would like addressed - Anxiety and Depression,Mental wellness issue would like addressed - Work-life balance,Mental wellness issue would like addressed - Lifestyle diseases management,Mental wellness issue would like addressed - Effective Parenting skills (Managing children and teenagers),Mental wellness issue would like addressed - Other (please specify),Which of the following training programs would you like to attend?,Training programs interested attending - Mental Health Peer counsellor,Training programs interested attending - Baby minder trainings (training for your nannies),Training programs interested attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training programs interested attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & wellbeing club interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Health & wellbeing club interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & wellbeing club interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",Health & wellbeing club interested joining - Other (please specify),What’s your preferred gym?,Please include physical address of the gym.
118591668450.0,Female,41-45 years,Not Selected,10,8,10,7,9,6,5,3,9,9,10,10,10,5,"boxing, pilates",GYM/AEROBICS,,SWIMMING,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,"1. F45, 2. LVL24LIFE or  a 3. Hyatt Gym","lavington, westlands kilimani"
118586690909.0,Male,36-40 years,Global Impact,10,,10,,,,,,,,,,10,,GOLF,,,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,QUIZ DAYS,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,https://www.nextlevelfitness.co.ke/  ,"Gateway Mall, Syokimau"
118586505716.0,Female,36-40 years,Admin,10,10,8,1,1,1,1,1,1,1,1,1,10,1,Walking,,ZUMBA,,,,,,,LADIES CLUB,BOOK CLUB,DIET/NUTRITION PROGRAMS,STAIRCASE/STEP CHALLENGE,MEDITATION/YOGA/MUSIC,QUIZ DAYS,,,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,FirstPower Fitness,"Galleria Mall, Langata"
118585122700.0,Female,46-50 years,AOA ,10,9,4,1,1,4,1,,9,6,9,9,8,3,,,ZUMBA,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,,Anxiety and Depression,Work-life balance,Lifestyle diseases management,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,FOCUS GYM,Happy Valley -Thika
118584416257.0,Male,31-35 years,Impact operations,10,1,1,10,1,10,10,10,1,1,1,1,10,1,,GYM/AEROBICS,,,,,RUNNING,FOOTBALL,MEN'S CAVE,,,,,,,Personal issues,,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,Mountain View Fitness Gym,"Mountain View Mall, Waiyaki Wy, Nairobi   "
118584205733.0,Female,41-45 years,OPs,10,10,10,3,1,8,1,1,8,5,5,5,5,1,,,,SWIMMING,,,,,,,,,,,,,,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,RDF gym and spa,Massai Mall ongata rongai 4th floor
118584194823.0,Male,50+ years,Business,,5,8,10,8,10,5,10,,,10,8,5,1,,,,,,,RUNNING,,,,,,,,,,,,,,,,Healthy Relationships,,,,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,,,Tripple O Utawala,"Along Eastern bypass, Utawala"
118584150222.0,Male,41-45 years,MSME Lending,8,8,3,8,2,9,1,1,1,3,7,1,1,1,Golf - 10,,,,,,RUNNING,,,,,,,,,,,,,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,Royal Golf Club,Ngong Road
118584138160.0,Male,31-35 years,INSIGHTS,9,1,1,8,7,9,8,,1,7,8,1,9,7,,,,,HIKING,,,,,,,DIET/NUTRITION PROGRAMS,,MEDITATION/YOGA/MUSIC,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,Unresolved Childhood Difficulties,,,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,Fitspot Gym(1)  Smart Gym(2),"Fitspot Gym- Kikuyu , Gracewood plaza  Smart Gym ,Karen, The Hub"
118584100702.0,Male,41-45 years,Business development,10,10,5,5,5,10,5,5,5,5,8,3,3,7,,GYM/AEROBICS,ZUMBA,,,,RUNNING,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)",,Smart Gyms Junction ,Junction Mall - Nairobi
