respondent_id,date_of_birth,gender,county,dependents_category,all_direct_covered,willingness_to_pay,amount_selected,age,age_band
12040041022.0,1983-10-04,Female,Laikipia,More than 4,No,Neutral,,42,36–45 years
12038048552.0,1980-02-11,Male,Laikipia,More than 4,No,Unwilling,,46,46–55 years
12037854235.0,1990-10-26,Female,Kitui,2-4,No,Unwilling,,35,25–35 years
12037403756.0,1974-03-23,Male,Bungoma,More than 4,No,Unwilling,,52,46–55 years
12037409112.0,1978-04-25,Male,Bungoma,More than 4,No,Unwilling,,48,46–55 years
12037331668.0,1991-06-23,Male,Laikipia,No dependents,No,Very willing,"Kes 10,000 – Kes 20,000",35,25–35 years
12037144861.0,1976-11-29,Male,Laikipia,1-2,No,Willing,"Kes 10,000 – Kes 20,000",49,46–55 years
12037018606.0,1987-12-11,Female,Laikipia,1-2,No,Neutral,,38,36–45 years
12036763063.0,1988-12-11,Male,Laikipia,2-4,Yes,,,37,36–45 years
12036534540.0,1990-04-22,Female,Bungoma,More than 4,Yes,,,36,36–45 years
12034736490.0,1987-07-01,Male,Nakuru,2-4,No,Neutral,,39,36–45 years
12034687941.0,1991-01-11,Female,Bungoma,1-2,Yes,,,35,25–35 years
12034517484.0,1970-01-17,Male,Samburu,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",56,56–65 years
12034453125.0,1982-04-11,Male,Elgeyo-Marakwet,2-4,Yes,,,44,36–45 years
12034241625.0,1994-07-31,Female,Kakamega,1-2,No,Neutral,,32,25–35 years
12034122747.0,1981-03-24,Male,Bomet,More than 4,Yes,,,45,36–45 years
12034052850.0,1983-09-26,Male,Kericho,1-2,No,Very unwilling,,42,36–45 years
12034051906.0,1987-01-04,Male,Kericho,2-4,Yes,,,39,36–45 years
12034042998.0,2020-09-30,Male,Kericho,2-4,Yes,,Less than 10000,5,Less than 25 years
12034042271.0,1972-05-15,Male,Kericho,More than 4,No,Unwilling,,54,46–55 years
12034041089.0,1976-02-20,Male,Trans-Nzoia,More than 4,No,Very unwilling,,50,46–55 years
12034027676.0,1966-01-27,Female,Laikipia,No dependents,No,Very willing,"Kes 40,000 – Kes 50,000",60,56–65 years
12033999629.0,1970-10-30,Female,Kericho,More than 4,No,Unwilling,,55,46–55 years
12033991786.0,1960-08-12,Female,Nakuru,More than 4,No,Unwilling,,65,56–65 years
12033970949.0,1980-07-28,Male,Nakuru,More than 4,No,Willing,Less than 10000,46,46–55 years
12033958439.0,1967-12-28,Male,Laikipia,More than 4,No,Willing,"Kes 10,000 – Kes 20,000",58,56–65 years
12033944941.0,1988-04-22,Female,Nakuru,More than 4,No,Unwilling,,38,36–45 years
12033918767.0,1986-01-01,Male,Marsabit,No dependents,Yes,,"Kes 10,000 – Kes 20,000",40,36–45 years
12033911328.0,1963-08-20,Female,Kericho,2-4,Yes,,,62,56–65 years
12033879852.0,1973-11-12,Female,Nakuru,2-4,No,Unwilling,,52,46–55 years
12033845554.0,2020-09-30,Male,Nakuru,2-4,Yes,,,5,Less than 25 years
