Client,Year,Total_Respondents,Col_Index,Column_Name
AON,2020,238,0,respondent_id
AON,2020,238,1,date_of_birth
AON,2020,238,2,gender
AON,2020,238,3,county
AON,2020,238,4,dependents_category
AON,2020,238,5,all_direct_covered
AON,2020,238,6,willingness_to_pay
AON,2020,238,7,amount_selected
AON,2020,238,8,age
AON,2020,238,9,age_band
ABSA,2022,1690,0,respondent_id
ABSA,2022,1690,1,name
ABSA,2022,1690,2,gender
ABSA,2022,1690,3,age_group
ABSA,2022,1690,4,branch
ABSA,2022,1690,5,function
ABSA,2022,1690,6,awareness_of_wellness_initiative
ABSA,2022,1690,7,post_covid_issues
ABSA,2022,1690,8,financial_issues
ABSA,2022,1690,9,wellness_program_needs
ABSA,2022,1690,10,effective communication skills among colleagues
ABSA,2022,1690,11,interpersonal relationships with colleagues
ABSA,2022,1690,12,employee - manager working relationships
ABSA,2022,1690,13,embracing teamwork among colleagues
ABSA,2022,1690,14,developing social support structures among team members
ABSA,2022,1690,15,has_health_wellbeing_issue
ABSA,2022,1690,16,link_to_eap
ABSA,2022,1690,17,themes
ABSA,2023,1820,0,Respondent ID
ABSA,2023,1820,1,Minet Counsellor Identification
ABSA,2023,1820,2,Is the employee currently working at ABSA?
ABSA,2023,1820,3,Branch
ABSA,2023,1820,4,Function
ABSA,2023,1820,5,Consent for care call engagement
ABSA,2023,1820,6,Please select your gender
ABSA,2023,1820,7,Kindly select age group
ABSA,2023,1820,8,"Are you aware of the current EWP, including health and wellness initiatives offered by the organization?"
ABSA,2023,1820,9,Did you participate in the wellness caravan during the wellness month?
ABSA,2023,1820,10,"If No to Question 9, please state your reason for not participating"
ABSA,2023,1820,11,Please reflect on your 2023 experiences so far and identify the issues/challenges you are have faced/going through? (Select Max. 4)
ABSA,2023,1820,12,"Challenges faced/facing - Personal challenges (career growth, education)"
ABSA,2023,1820,13,Challenges faced/facing - Work- and work-related stressors
ABSA,2023,1820,14,Challenges faced/facing - Work-life imbalance
ABSA,2023,1820,15,Challenges faced/facing - Marital issues
ABSA,2023,1820,16,Challenges faced/facing - Financial challenges
ABSA,2023,1820,17,Challenges faced/facing - Relationship difficulties
ABSA,2023,1820,18,Challenges faced/facing - Parenting challenges
ABSA,2023,1820,19,Challenges faced/facing - Anxiety and depression
ABSA,2023,1820,20,Challenges faced/facing - Trauma related
ABSA,2023,1820,21,Challenges faced/facing - Loss and Grief
ABSA,2023,1820,22,Challenges faced/facing - Alcohol (Substance and chemical dependency)
ABSA,2023,1820,23,"Challenges faced/facing - Chronic Diseases (nuclear family, parents, other extended family members)"
ABSA,2023,1820,24,Challenges faced/facing - Other (please specify)
ABSA,2023,1820,25,"During the year 2023, have you accessed the Employee Assistance Program counselling services?"
ABSA,2023,1820,26,"If No to Question 12, please state your reason for not participating"
ABSA,2023,1820,27,"Based on the current economic developments, what financial empowerment programs would you like to be implemented in the EWP program?"
ABSA,2023,1820,28,Financial empowerment programs requested - Debt management
ABSA,2023,1820,29,Financial empowerment programs requested - Retirement planning
ABSA,2023,1820,30,Financial empowerment programs requested - Investment
ABSA,2023,1820,31,Financial empowerment programs requested - Financial planning
ABSA,2023,1820,32,Financial empowerment programs requested - Other (please specify)
ABSA,2023,1820,33,Which areas of the mental health and wellbeing would you propose to be included in the wellness program to address your needs?
ABSA,2023,1820,34,Mental health/wellbeing areas proposed - Health and well-being including lifestyle diseases
ABSA,2023,1820,35,Mental health/wellbeing areas proposed - Dealing with addiction and related stigma
ABSA,2023,1820,36,Mental health/wellbeing areas proposed - Men Cave/Women Forum
ABSA,2023,1820,37,Mental health/wellbeing areas proposed - Building healthy relationships/marriages
ABSA,2023,1820,38,Mental health/wellbeing areas proposed - Parenting and childcare
ABSA,2023,1820,39,Mental health/wellbeing areas proposed - Increased awareness sessions on mental health issues
ABSA,2023,1820,40,Mental health/wellbeing areas proposed - Money matters/Financial coaching and literacy sessions
ABSA,2023,1820,41,"Mental health/wellbeing areas proposed - Building healthy relationships at work (colleagues, team leaders, managers)"
ABSA,2023,1820,42,Mental health/wellbeing areas proposed - Develop a Teens program on contemporary topics
ABSA,2023,1820,43,Mental health/wellbeing areas proposed - Other (please specify)
ABSA,2023,1820,44,Please rank the following mental health initiatives in order of which would most promote a healthy work environment and maximize productivity.
ABSA,2023,1820,45,Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Setting up an insurance medical fund/kitty for parents funded by employees
ABSA,2023,1820,46,Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Interested to be a wellness champion
ABSA,2023,1820,47,Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Initiate employee-manager communication forums
ABSA,2023,1820,48,"Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Embrace teamwork amongst colleagues through employee engagement forums, sporting activities, team building"
ABSA,2023,1820,49,"Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Initiate family visit days to the office e.g., during customer service week"
ABSA,2023,1820,50,Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Improve social support structures among employees/team members
ABSA,2023,1820,51,Are there any other programs you suggest?
CIPLA,2023,95,0,respondent_id
CIPLA,2023,95,1,gender
CIPLA,2023,95,2,age_group
CIPLA,2023,95,3,department
CIPLA,2023,95,4,mental_wellbeing_rating_overall
CIPLA,2023,95,5,mental_wellbeing_rating_current
CIPLA,2023,95,6,"if you need support in q6 above, please state what type of support you would need?"
CIPLA,2023,95,7,please reflect on the mental wellness related issues listed below and tick the areas you would like us to address on our regular sessions?  (select as many as applicable)
CIPLA,2023,95,8,mental_issue_emotional_intelligence
CIPLA,2023,95,9,mental_issue_financial_constraints
CIPLA,2023,95,10,mental_issue_trauma
CIPLA,2023,95,11,mental_issue_substance_dependence
CIPLA,2023,95,12,mental_issue_relationship_difficulties
CIPLA,2023,95,13,mental_issue_unresolved_childhood
CIPLA,2023,95,14,mental_issue_anxiety_depression
CIPLA,2023,95,15,mental_issue_parenting
CIPLA,2023,95,16,mental_issue_other
CIPLA,2023,95,17,currently_emotionally_distressed
CIPLA,2023,95,18,"during the past month, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?"
CIPLA,2023,95,19,"during the past month, how often has your mental health affected your ability to get work done?"
CIPLA,2023,95,20,"during the past month, how often has your mental health affected your relationships?"
CIPLA,2023,95,21,ever_diagnosed_mental_disorder
CIPLA,2023,95,22,seen_therapist_recently
CIPLA,2023,95,23,family_history_mental_disorder
CIPLA,2023,95,24,do you feel content with your relationships and family?
CIPLA,2023,95,25,when was the last time you were really happy?
CIPLA,2023,95,26,when was the last time you had a positive outlook on life?
CIPLA,2023,95,27,when was the last time you felt good about yourself?
CIPLA,2023,95,28,how often do you feel positive about your life?
CIPLA,2023,95,29,sleep_hours_per_day
CIPLA,2023,95,30,sleep_quality
CIPLA,2023,95,31,diet_habit_changes
CIPLA,2023,95,32,smoking_frequency
CIPLA,2023,95,33,alcohol_consumption_frequency
CIPLA,2023,95,34,how do you usually cope with the general stresses of life and the mental health challenges that come your way? (select as many as applicable starting with the most relevant)
CIPLA,2023,95,35,coping_keep_to_self
CIPLA,2023,95,36,coping_seek_online_options
CIPLA,2023,95,37,coping_physical_activity
CIPLA,2023,95,38,coping_pub_drinking
CIPLA,2023,95,39,coping_professional_counsellor
CIPLA,2023,95,40,coping_religious_leader
CIPLA,2023,95,41,coping_engage_family_friends
CIPLA,2023,95,42,coping_other
CIPLA,2023,95,43,"what about the amount of social support you receive from your family, friends, etc? when you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfils these needs?"
CIPLA,2023,95,44,how would you prefer to receive information and advice about mental health?
CIPLA,2023,95,45,info_group_session
CIPLA,2023,95,46,info_online
CIPLA,2023,95,47,info_one_on_one
CIPLA,2023,95,48,info_pamphlets_nuggets
CIPLA,2023,95,49,eap_awareness
CIPLA,2023,95,50,eap_service_used
CIPLA,2023,95,51,unnamed: 60
CIPLA,2023,95,52,would you like us to link you or your dependents to our professional counsellors for support?
CIPLA,2023,95,53,unnamed: 62
CIPLA,2023,95,54,mental_issues_selected
CIPLA,2023,95,55,coping_mechanisms_selected
CIPLA,2023,95,56,info_preference_selected
Africa Biosystems,2024,23,0,Respondent ID
Africa Biosystems,2024,23,1,Collector ID
Africa Biosystems,2024,23,2,Start Date
Africa Biosystems,2024,23,3,End Date
Africa Biosystems,2024,23,4,IP Address
Africa Biosystems,2024,23,5,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you."
Africa Biosystems,2024,23,6,Please select your gender
Africa Biosystems,2024,23,7,Kindly select your age group
Africa Biosystems,2024,23,8,Please select your respective functional unit from the dropdown below.
Africa Biosystems,2024,23,9,Ranking - CYCLING
Africa Biosystems,2024,23,10,Ranking - RUNNING
Africa Biosystems,2024,23,11,Ranking - FOOTBALL
Africa Biosystems,2024,23,12,Ranking - MEN'S CAVE
Africa Biosystems,2024,23,13,Ranking - LADIES CLUB
Africa Biosystems,2024,23,14,Ranking - BOOK CLUB
Africa Biosystems,2024,23,15,Ranking - DIET/NUTRITION PROGRAMS
Africa Biosystems,2024,23,16,Ranking - STAIRCASE/STEP CHALLENGE
Africa Biosystems,2024,23,17,Ranking - MEDITATION/YOGA/MUSIC
Africa Biosystems,2024,23,18,Ranking - QUIZ DAYS
Africa Biosystems,2024,23,19,Ranking - Other (please specify)
Africa Biosystems,2024,23,20,Champion Interest - CYCLING
Africa Biosystems,2024,23,21,Champion Interest - RUNNING
Africa Biosystems,2024,23,22,Champion Interest - FOOTBALL
Africa Biosystems,2024,23,23,Champion Interest - MEN'S CAVE
Africa Biosystems,2024,23,24,Champion Interest - LADIES CLUB
Africa Biosystems,2024,23,25,Champion Interest - BOOK CLUB
Africa Biosystems,2024,23,26,Champion Interest - DIET/NUTRITION PROGRAMS
Africa Biosystems,2024,23,27,Champion Interest - STAIRCASE/STEP CHALLENGE
Africa Biosystems,2024,23,28,Champion Interest - MEDITATION/YOGA/MUSIC
Africa Biosystems,2024,23,29,Champion Interest - QUIZ DAYS
Africa Biosystems,2024,23,30,Champion Interest - Personal issues
Africa Biosystems,2024,23,31,Champion Interest - Work/job-related stressors
Africa Biosystems,2024,23,32,Champion Interest - Building Healthy families
Africa Biosystems,2024,23,33,Champion Interest - Emotional Wellbeing
Africa Biosystems,2024,23,34,Mental Wellness - Financial Wellbeing
Africa Biosystems,2024,23,35,"Mental Wellness - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)"
Africa Biosystems,2024,23,36,Mental Wellness - Substance and Drug Dependence
Africa Biosystems,2024,23,37,Mental Wellness - Healthy Relationships
Africa Biosystems,2024,23,38,Mental Wellness - Unresolved Childhood Difficulties
Africa Biosystems,2024,23,39,Mental Wellness - Anxiety and Depression
Africa Biosystems,2024,23,40,Mental Wellness - Work-life balance
Africa Biosystems,2024,23,41,Mental Wellness - Lifestyle diseases management
Africa Biosystems,2024,23,42,Mental Wellness - Effective Parenting skills (Managing children and teenagers)
Africa Biosystems,2024,23,43,Mental Wellness - Other (please specify)
Africa Biosystems,2024,23,44,Mental Wellness - Wellness coordinators/ Ambassador for Change
Africa Biosystems,2024,23,45,Mental Wellness - Mental Health Peer counsellor
Africa Biosystems,2024,23,46,Mental Wellness - Baby minder trainings (training for your nannies)
Africa Biosystems,2024,23,47,Mental Wellness - Youth/Peer mentorship program (Training for your adolescent son/daughter)
Africa Biosystems,2024,23,48,Training Interest - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples)
Africa Biosystems,2024,23,49,Training Interest - Other (please specify)
Africa Biosystems,2024,23,50,"Training Interest - Thrive club (Those living positively with a life's challenging phenomena; Disease, Disability etc.)"
Africa Biosystems,2024,23,51,Training Interest - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace)
Africa Biosystems,2024,23,52,"Training Interest - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)"
Africa Biosystems,2024,23,53,"Training Interest - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
Africa Biosystems,2024,23,54,Club Interest - Other (please specify)
CARGILL,2024,11,0,Respondent ID
CARGILL,2024,11,1,The wellness camp met my expectation?
CARGILL,2024,11,2,The topics and checks covered were relevant
CARGILL,2024,11,3,The trainer was knowledgeable and well prepared
CARGILL,2024,11,4,The providers conducted themselves professionally
CARGILL,2024,11,5,There was sufficient opportunity for interactive participation
CARGILL,2024,11,6,"All things considered, I was extremely satisfied with the Wellness Camp?"
CARGILL,2024,11,7,What did you like best about the Staff Wellness camp?
CARGILL,2024,11,8,What did you like least about the Staff Wellness Camp?
CARGILL,2024,11,9,Any suggestions for improvement? List below.
Kenya Airways,2022,637,0,Respondent ID
Kenya Airways,2022,637,1,Please select your gender
Kenya Airways,2022,637,2,Kindly select your age bracket
Kenya Airways,2022,637,3,Please select your department from the list below
Kenya Airways,2022,637,4,How would you rate the state of your mental well-being?
Kenya Airways,2022,637,5,How would you rate the current state of your mental well-being?
Kenya Airways,2022,637,6,"If you need support in Q5 above, please state what support you would need?"
Kenya Airways,2022,637,7,MW_Issue_Emotional_Intelligence
Kenya Airways,2022,637,8,MW_Issue_Financial_Constraints
Kenya Airways,2022,637,9,MW_Issue_Trauma
Kenya Airways,2022,637,10,MW_Issue_Substance_Drug_Dependence
Kenya Airways,2022,637,11,MW_Issue_Relationship_Difficulties
Kenya Airways,2022,637,12,MW_Issue_Unresolved_Childhood_Difficulties
Kenya Airways,2022,637,13,MW_Issue_Anxiety_Depression
Kenya Airways,2022,637,14,MW_Issue_Other
Kenya Airways,2022,637,15,Are you going through a tough emotional situation right now?
Kenya Airways,2022,637,16,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?"
Kenya Airways,2022,637,17,"During the past 4 weeks, how often has your mental health affected your ability to get work done?"
Kenya Airways,2022,637,18,"During the past two weeks, how often has your mental health affected your relationships?"
Kenya Airways,2022,637,19,Have you ever been diagnosed with a mental disorder before?
Kenya Airways,2022,637,20,Have you seen a therapist in the recent past?
Kenya Airways,2022,637,21,Is there a history of mental disorder in your family?
Kenya Airways,2022,637,22,Do you feel content with your relationships and family?
Kenya Airways,2022,637,23,When was the last time you were really happy?
Kenya Airways,2022,637,24,When was the last time you felt good about yourself?
Kenya Airways,2022,637,25,How often do you feel positive about your life?
Kenya Airways,2022,637,26,When was the last time you had a positive outlook on life?
Kenya Airways,2022,637,27,How many hours do you sleep per day?
Kenya Airways,2022,637,28,How is your quality of sleep?
Kenya Airways,2022,637,29,How often do you smoke?
Kenya Airways,2022,637,30,How often do you drink?
Kenya Airways,2022,637,31,How do you usually cope with the general stresses of life and the mental health challenges that come your way?
Kenya Airways,2022,637,32,Coping_Mechanisms_Other
Kenya Airways,2022,637,33,"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?"
Kenya Airways,2022,637,34,Have you ever attended a Mental Health Awareness Session?
Kenya Airways,2022,637,35,How would you prefer to receive information and advice about mental health?
Kenya Airways,2022,637,36,MH_Info_Preference_Other
Kenya Airways,2022,637,37,Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?
Kenya Airways,2022,637,38,"If yes to Question 28, have you ever accessed the service?"
Kenya Airways,2022,637,39,"If no, please state the reason."
Kenya Airways,2022,637,40,Would you like us to link you or your dependents to our professional counselors for support?
BE Energy,2025,25,0,Respondent ID
BE Energy,2025,25,1,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you."
BE Energy,2025,25,2,Please select your gender 
BE Energy,2025,25,3,Kindly select your age group
BE Energy,2025,25,4,Please select your respective functional unit from the dropdown below
BE Energy,2025,25,5,"Rank the below proposed wellness activities in order of your preference and participation in the year 2025 (1 being the lowest, while 10 being the highest score)"
BE Energy,2025,25,6,Proposed wellness activities preference ranking - Proposed wellness activities ranking - ZUMBA
BE Energy,2025,25,7,Proposed wellness activities preference ranking - Proposed wellness activities ranking - SWIMMING
BE Energy,2025,25,8,Proposed wellness activities preference ranking - Proposed wellness activities ranking - HIKING
BE Energy,2025,25,9,Proposed wellness activities preference ranking - Proposed wellness activities ranking - CYCLING
BE Energy,2025,25,10,Proposed wellness activities preference ranking - Proposed wellness activities ranking - RUNNING
BE Energy,2025,25,11,Proposed wellness activities preference ranking - Proposed wellness activities ranking - FOOTBALL
BE Energy,2025,25,12,Proposed wellness activities preference ranking - Proposed wellness activities ranking - MEN’ S CAVE
BE Energy,2025,25,13,Proposed wellness activities preference ranking - Proposed wellness activities ranking - LADIES CLUB
BE Energy,2025,25,14,Proposed wellness activities preference ranking - Proposed wellness activities ranking - BOOK CLUB
BE Energy,2025,25,15,Proposed wellness activities preference ranking - Proposed wellness activities ranking - DIET/NUTRITION PROGRAMS
BE Energy,2025,25,16,Proposed wellness activities preference ranking - Proposed wellness activities ranking - STAIRCASE/STEP CHALLENGE
BE Energy,2025,25,17,Proposed wellness activities preference ranking - Proposed wellness activities ranking - QUIZ DAYS
BE Energy,2025,25,18,Proposed wellness activities preference ranking - Proposed wellness activities ranking - MEDITATION/YOGA/MUSIC
BE Energy,2025,25,19,Proposed wellness activities preference ranking - Proposed wellness activities ranking - Other (please specify)
BE Energy,2025,25,20,Which of the above would you like to join as a champion or a committee member?
BE Energy,2025,25,21,Champion/Committee interested joining - ZUMBA
BE Energy,2025,25,22,Champion/Committee interested joining - SWIMMING
BE Energy,2025,25,23,Champion/Committee interested joining - HIKING
BE Energy,2025,25,24,Champion/Committee interested joining - CYCLING
BE Energy,2025,25,25,Champion/Committee interested joining - RUNNING
BE Energy,2025,25,26,Champion/Committee interested joining - FOOTBALL
BE Energy,2025,25,27,Champion/Committee interested joining - MEN'S CAVE
BE Energy,2025,25,28,Champion/Committee interested joining - LADIES CLUB
BE Energy,2025,25,29,Champion/Committee interested joining - BOOK CLUB
BE Energy,2025,25,30,Champion/Committee interested joining - DIET/NUTRITION PROGRAMS
BE Energy,2025,25,31,Champion/Committee interested joining - STAIRCASE/STEP CHALLENGE
BE Energy,2025,25,32,Champion/Committee interested joining - QUIZ DAYS
BE Energy,2025,25,33,Champion/Committee interested joining - MEDITATION/YOGA/MUSIC
BE Energy,2025,25,34,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option)."
BE Energy,2025,25,35,Mental wellness areas requested to address - Work/job-related stressors
BE Energy,2025,25,36,Mental wellness areas requested to address - Building Healthy families
BE Energy,2025,25,37,Mental wellness areas requested to address - Emotional Wellbeing
BE Energy,2025,25,38,Mental wellness areas requested to address - Financial Wellbeing
BE Energy,2025,25,39,"Mental wellness areas requested to address - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)"
BE Energy,2025,25,40,Mental wellness areas requested to address - Substance and Drug Dependence
BE Energy,2025,25,41,Mental wellness areas requested to address - Healthy Relationships
BE Energy,2025,25,42,Mental wellness areas requested to address - Unresolved Childhood Difficulties
BE Energy,2025,25,43,Mental wellness areas requested to address - Anxiety and Depression
BE Energy,2025,25,44,Mental wellness areas requested to address - Work-life balance
BE Energy,2025,25,45,Mental wellness areas requested to address - Lifestyle diseases management
BE Energy,2025,25,46,Mental wellness areas requested to address - Effective Parenting skills (Managing children and teenagers)
BE Energy,2025,25,47,Mental wellness areas requested to address - Other (please specify)
BE Energy,2025,25,48,Which of the following training programs would you like to attend?
BE Energy,2025,25,49,Training programs would like to attend - Mental Health Peer counsellor
BE Energy,2025,25,50,Training programs would like to attend - Baby minder trainings (training for your nannies)
BE Energy,2025,25,51,Training programs would like to attend - Youth/Peer mentorship program (Training for your adolescent son/daughter)
BE Energy,2025,25,52,Training programs would like to attend - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples)
BE Energy,2025,25,53,Training programs would like to attend - Other (please specify)
BE Energy,2025,25,54,Which of the health and wellbeing clubs below would you be interested to join?
BE Energy,2025,25,55,Health & wellbeing club interested joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace)
BE Energy,2025,25,56,"Health & wellbeing club interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)"
BE Energy,2025,25,57,"Health & wellbeing club interested joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)"
BE Energy,2025,25,58,Health & wellbeing club interested joining - Other (please specify)
MPESA Foundation,2023,67,0,Respondent ID
MPESA Foundation,2023,67,1,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you."
MPESA Foundation,2023,67,2,Please select your gender
MPESA Foundation,2023,67,3,Kindly select your age group
MPESA Foundation,2023,67,4,Please select your respective functional unit from the dropdown below.
MPESA Foundation,2023,67,5,Other (please specify)
MPESA Foundation,2023,67,6,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)"
MPESA Foundation,2023,67,7,Ranking wellness activities preference and participation(1 least 10 highest)- ZUMBA
MPESA Foundation,2023,67,8,Ranking wellness activities preference and participation(1 least 10 highest)- SWIMMING
MPESA Foundation,2023,67,9,Ranking wellness activities preference and participation(1 least 10 highest)- HIKING
MPESA Foundation,2023,67,10,Ranking wellness activities preference and participation(1 least 10 highest)- CYCLING
MPESA Foundation,2023,67,11,Ranking wellness activities preference and participation(1 least 10 highest)- RUNNING
MPESA Foundation,2023,67,12,Ranking wellness activities preference and participation(1 least 10 highest)- FOOTBALL
MPESA Foundation,2023,67,13,Ranking wellness activities preference and participation(1 least 10 highest)- MEN’ S CAVE
MPESA Foundation,2023,67,14,Ranking wellness activities preference and participation(1 least 10 highest)- LADIES CLUB
MPESA Foundation,2023,67,15,Ranking wellness activities preference and participation(1 least 10 highest)- BOOK CLUB
MPESA Foundation,2023,67,16,Ranking wellness activities preference and participation(1 least 10 highest)- DIET/NUTRITION PROGRAMS
MPESA Foundation,2023,67,17,Ranking wellness activities preference and participation(1 least 10 highest)- STAIRCASE/STEP CHALLENGE
MPESA Foundation,2023,67,18,Ranking wellness activities preference and participation(1 least 10 highest)- MEDITATION/YOGA/MUSIC
MPESA Foundation,2023,67,19,Ranking wellness activities preference and participation(1 least 10 highest)- QUIZ DAYS
MPESA Foundation,2023,67,20,Ranking wellness activities preference and participation(1 least 10 highest)- Other (please specify)
MPESA Foundation,2023,67,21,Which of the above would you like to join as a champion or a committee member?
MPESA Foundation,2023,67,22,Champion/Committee inerested joining - ZUMBA
MPESA Foundation,2023,67,23,Champion/Committee inerested joining - SWIMMING
MPESA Foundation,2023,67,24,Champion/Committee inerested joining - HIKING
MPESA Foundation,2023,67,25,Champion/Committee inerested joining - CYCLING
MPESA Foundation,2023,67,26,Champion/Committee inerested joining - RUNNING
MPESA Foundation,2023,67,27,Champion/Committee inerested joining - FOOTBALL
MPESA Foundation,2023,67,28,Champion/Committee inerested joining - MEN'S CAVE
MPESA Foundation,2023,67,29,Champion/Committee inerested joining - LADIES CLUB
MPESA Foundation,2023,67,30,Champion/Committee inerested joining - BOOK CLUB
MPESA Foundation,2023,67,31,Champion/Committee inerested joining - DIET/NUTRITION PROGRAMS
MPESA Foundation,2023,67,32,Champion/Committee inerested joining - STAIRCASE/STEP CHALLENGE
MPESA Foundation,2023,67,33,Champion/Committee inerested joining - MEDITATION/YOGA/MUSIC
MPESA Foundation,2023,67,34,Champion/Committee inerested joining - QUIZ DAYS
MPESA Foundation,2023,67,35,Please reflect on the Mental wellness-related issues listed below and tick the areas you would  like us to address in our regular wellness sessions (tick more than one option).
MPESA Foundation,2023,67,36,Mental wellness issues requested to adress - Work/job-related stressors
MPESA Foundation,2023,67,37,Mental wellness issues requested to adress - Building Healthy families
MPESA Foundation,2023,67,38,Mental wellness issues requested to adress - Emotional Wellbeing
MPESA Foundation,2023,67,39,Mental wellness issues requested to adress - Financial Wellbeing
MPESA Foundation,2023,67,40,"Mental wellness issues requested to adress - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)"
MPESA Foundation,2023,67,41,Mental wellness issues requested to adress - Substance and Drug Dependence
MPESA Foundation,2023,67,42,Mental wellness issues requested to adress - Healthy Relationships
MPESA Foundation,2023,67,43,Mental wellness issues requested to adress - Unresolved Childhood Difficulties
MPESA Foundation,2023,67,44,Mental wellness issues requested to adress - Anxiety and Depression
MPESA Foundation,2023,67,45,Mental wellness issues requested to adress - Work-life balance
MPESA Foundation,2023,67,46,Mental wellness issues requested to adress - Lifestyle diseases management
MPESA Foundation,2023,67,47,Mental wellness issues requested to adress - Effective Parenting skills (Managing children and teenagers)
MPESA Foundation,2023,67,48,Mental wellness issues requested to adress - Other (please specify)
MPESA Foundation,2023,67,49,Which of the following training programs would you like to attend?
MPESA Foundation,2023,67,50,Training programs interested joining - Mental Health Peer counsellor
MPESA Foundation,2023,67,51,Training programs interested joining - Baby minder trainings (training for your nannies)
MPESA Foundation,2023,67,52,Training programs interested joining - Youth/Peer mentorship program (Training for your adolescent son/daughter)
MPESA Foundation,2023,67,53,Training programs interested joining - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples)
MPESA Foundation,2023,67,54,Training programs interested joining - Other (please specify)
MPESA Foundation,2023,67,55,Which of the health and wellbeing clubs below would you be interested to join?
MPESA Foundation,2023,67,56,Health and wellbeing clubs interested joining - Soul food (overcomers of a challenging or difficult situation in life; from grass to grace)
MPESA Foundation,2023,67,57,"Health and wellbeing clubs interested joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)"
MPESA Foundation,2023,67,58,"Health and wellbeing clubs interested joining - Health club (Those interested in healthy living aspects, healthy eating, exercising, health promotion etc.)"
MPESA Foundation,2023,67,59,Health and wellbeing clubs interested joining - Other (please specify)
Habitat for Humanity,2023,14,0,Respondent ID
Habitat for Humanity,2023,14,1,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you."
Habitat for Humanity,2023,14,2,Please select your gender
Habitat for Humanity,2023,14,3,Kindly select your age group
Habitat for Humanity,2023,14,4,Please select your respective functional unit from the dropdown below.
Habitat for Humanity,2023,14,5,"Rank the below wellness activities in order of your preference and participation in the year 2024 (1 being the lowest, while 10 being the highest score)"
Habitat for Humanity,2023,14,6,Wellness activities preference and participation - ZUMBA
Habitat for Humanity,2023,14,7,Wellness activities preference and participation - SWIMMING
Habitat for Humanity,2023,14,8,Wellness activities preference and participation - HIKING
Habitat for Humanity,2023,14,9,Wellness activities preference and participation - CYCLING
Habitat for Humanity,2023,14,10,Wellness activities preference and participation - RUNNING
Habitat for Humanity,2023,14,11,Wellness activities preference and participation - FOOTBALL
Habitat for Humanity,2023,14,12,Wellness activities preference and participation - MEN’ S CAVE
Habitat for Humanity,2023,14,13,Wellness activities preference and participation - LADIES CLUB
Habitat for Humanity,2023,14,14,Wellness activities preference and participation - BOOK CLUB
Habitat for Humanity,2023,14,15,Wellness activities preference and participation - DIET/NUTRITION PROGRAMS
Habitat for Humanity,2023,14,16,Wellness activities preference and participation - STAIRCASE/STEP CHALLENGE
Habitat for Humanity,2023,14,17,Wellness activities preference and participation - MEDITATION/YOGA/MUSIC
Habitat for Humanity,2023,14,18,Wellness activities preference and participation - QUIZ DAYS
