Client,Year,Column_Name,Data_Type,Sample_Value,Unique_Values_Count,Null_Percentage
AON,2020,respondent_id,float64,12040041022.0,236,0.0
AON,2020,date_of_birth,object,1983-10-04,221,0.4
AON,2020,gender,object,Female,2,0.0
AON,2020,county,object,Laikipia,44,0.0
AON,2020,dependents_category,object,More than 4,4,0.0
AON,2020,all_direct_covered,object,No,2,0.0
AON,2020,willingness_to_pay,object,Neutral,5,47.9
AON,2020,amount_selected,object,"Kes 10,000 – Kes 20,000",6,74.4
AON,2020,age,float64,42.0,38,0.4
AON,2020,age_band,object,36–45 years,5,0.8
ABSA,2022,respondent_id,float64,114212759355.0,1690,0.0
ABSA,2022,name,object,EMMA MWILARIA,1626,0.0
ABSA,2022,gender,object,Female,2,0.0
ABSA,2022,age_group,object,25-34,5,0.0
ABSA,2022,branch,object,Gilgil Express Branch,116,0.0
ABSA,2022,function,object,Bancassurance,211,0.0
ABSA,2022,awareness_of_wellness_initiative,object,Yes,2,0.0
ABSA,2022,post_covid_issues,object,Work stressors,71,45.9
ABSA,2022,financial_issues,object,Financial Planning,28,81.5
ABSA,2022,wellness_program_needs,object,Parenting and childcare,14,16.1
ABSA,2022,effective communication skills among colleagues,object,Important,5,3.7
ABSA,2022,interpersonal relationships with colleagues,object,Important,5,3.8
ABSA,2022,employee - manager working relationships,object,Important,5,4.0
ABSA,2022,embracing teamwork among colleagues,object,Important,5,4.0
ABSA,2022,developing social support structures among team members,object,Important,5,3.8
ABSA,2022,has_health_wellbeing_issue,object,No,2,0.0
ABSA,2022,link_to_eap,object,No,2,0.0
ABSA,2022,themes,object,['Branch/Location/Transfer'],127,0.0
ABSA,2023,Respondent ID,float64,118463322750.0,1820,0.0
ABSA,2023,Minet Counsellor Identification,object,Maureen Pande,6,0.0
ABSA,2023,Is the employee currently working at ABSA?,object,yes,1,0.0
ABSA,2023,Branch,object,Muthaiga Branch,93,0.0
ABSA,2023,Function,object,Retail,32,0.0
ABSA,2023,Consent for care call engagement,object,Yes,4,0.0
ABSA,2023,Please select your gender,object,Male,2,0.8
ABSA,2023,Kindly select age group,object,25-34,5,11.0
ABSA,2023,"Are you aware of the current EWP, including health and wellness initiatives offered by the organization?",object,Yes,2,4.6
ABSA,2023,Did you participate in the wellness caravan during the wellness month?,object,No,2,5.0
ABSA,2023,"If No to Question 9, please state your reason for not participating",object,Had no free time because of the position he works ,267,75.1
ABSA,2023,Please reflect on your 2023 experiences so far and identify the issues/challenges you are have faced/going through? (Select Max. 4),object,None of the above,1,54.6
ABSA,2023,"Challenges faced/facing - Personal challenges (career growth, education)",object,"Personal challenges (career growth, education)",1,89.3
ABSA,2023,Challenges faced/facing - Work- and work-related stressors,object,Work- and work-related stressors,1,78.4
ABSA,2023,Challenges faced/facing - Work-life imbalance,object,Work-life imbalance,1,91.0
ABSA,2023,Challenges faced/facing - Marital issues,object,Marital issues,1,98.3
ABSA,2023,Challenges faced/facing - Financial challenges,object,Financial challenges,1,87.4
ABSA,2023,Challenges faced/facing - Relationship difficulties,object,Relationship difficulties,1,99.0
ABSA,2023,Challenges faced/facing - Parenting challenges,object,Parenting challenges,1,96.5
ABSA,2023,Challenges faced/facing - Anxiety and depression,object,Anxiety and depression,1,95.9
ABSA,2023,Challenges faced/facing - Trauma related,object,Trauma related,1,98.9
ABSA,2023,Challenges faced/facing - Loss and Grief,object,Loss and Grief,1,97.6
ABSA,2023,Challenges faced/facing - Alcohol (Substance and chemical dependency),object,Alcohol (Substance and chemical dependency),1,98.5
ABSA,2023,"Challenges faced/facing - Chronic Diseases (nuclear family, parents, other extended family members)",object,"Chronic Diseases (nuclear family, parents, other e",1,97.7
ABSA,2023,Challenges faced/facing - Other (please specify),object,health challenges,43,94.4
ABSA,2023,"During the year 2023, have you accessed the Employee Assistance Program counselling services?",object,No,2,8.2
ABSA,2023,"If No to Question 12, please state your reason for not participating",object,It has been a good year,301,51.9
ABSA,2023,"Based on the current economic developments, what financial empowerment programs would you like to be implemented in the EWP program?",object,Personal financial management,1,61.2
ABSA,2023,Financial empowerment programs requested - Debt management,object,Debt management,1,84.2
ABSA,2023,Financial empowerment programs requested - Retirement planning,object,Retirement planning,1,81.8
ABSA,2023,Financial empowerment programs requested - Investment,object,Investment,1,62.9
ABSA,2023,Financial empowerment programs requested - Financial planning,object,Financial planning,1,61.8
ABSA,2023,Financial empowerment programs requested - Other (please specify),object,Increase facility with a low interest rate ,38,83.6
ABSA,2023,Which areas of the mental health and wellbeing would you propose to be included in the wellness program to address your needs?,object,Anxiety/depression,1,88.2
ABSA,2023,Mental health/wellbeing areas proposed - Health and well-being including lifestyle diseases,object,Health and well-being including lifestyle diseases,1,77.1
ABSA,2023,Mental health/wellbeing areas proposed - Dealing with addiction and related stigma,object,Dealing with addiction and related stigma,1,97.5
ABSA,2023,Mental health/wellbeing areas proposed - Men Cave/Women Forum,object,Men Cave/Women Forum,1,87.4
ABSA,2023,Mental health/wellbeing areas proposed - Building healthy relationships/marriages,object,Building healthy relationships/marriages,1,94.8
ABSA,2023,Mental health/wellbeing areas proposed - Parenting and childcare,object,Parenting and childcare,1,90.8
ABSA,2023,Mental health/wellbeing areas proposed - Increased awareness sessions on mental health issues,object,Increased awareness sessions on mental health issu,1,59.1
ABSA,2023,Mental health/wellbeing areas proposed - Money matters/Financial coaching and literacy sessions,object,Money matters/Financial coaching and literacy sess,1,65.9
ABSA,2023,"Mental health/wellbeing areas proposed - Building healthy relationships at work (colleagues, team leaders, managers)",object,Building healthy relationships at work (colleagues,1,87.4
ABSA,2023,Mental health/wellbeing areas proposed - Develop a Teens program on contemporary topics,object,Develop a Teens program on contemporary topics,1,95.7
ABSA,2023,Mental health/wellbeing areas proposed - Other (please specify),object,Stress Management,83,82.2
ABSA,2023,Please rank the following mental health initiatives in order of which would most promote a healthy work environment and maximize productivity.,float64,2.0,7,7.5
ABSA,2023,Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Setting up an insurance medical fund/kitty for parents funded by employees,float64,3.0,7,7.5
ABSA,2023,Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Interested to be a wellness champion,float64,4.0,7,7.5
ABSA,2023,Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Initiate employee-manager communication forums,float64,1.0,7,7.5
ABSA,2023,"Ranking of mental health initiatives to promote a healthy work environment and maximize productivity - Embrace teamwork amongst colleagues through employee engagement forums, sporting activities, team building",float64,5.0,7,7.5
